cohort,case_id,samples,mean_ms,median_ms,p95_ms,minimum_ms,maximum_ms
current-before,ABeautifulGame-draco-glb,3,41.88373333333333,42.2485,42.2525,41.1502,42.2525
current-before,ABeautifulGame-glb,3,109.79096666666668,107.9799,133.9412,87.4518,133.9412
current-before,Avocado-glb,3,39.131366666666665,34.3561,52.618,30.42,52.618
current-before,NodePerformanceTest-glb,3,18090.049166666664,17738.328899999997,19105.2719,17426.5467,19105.2719
current-before,SpecularTest-glb,3,9.659433333333332,9.857,11.2361,7.8852,11.2361
current-after,ABeautifulGame-draco-glb,3,36.60596666666667,36.3239,37.6848,35.8092,37.6848
current-after,ABeautifulGame-glb,3,83.55073333333334,84.2335,86.6509,79.76780000000001,86.6509
current-after,Avocado-glb,3,23.295533333333335,23.541900000000002,23.5984,22.746299999999998,23.5984
current-after,NodePerformanceTest-glb,3,15269.322733333333,15227.115699999998,15378.3642,15202.4883,15378.3642
current-after,SpecularTest-glb,3,7.970533333333333,7.8971,8.3771,7.6373999999999995,8.3771
rapidjson-fresh,ABeautifulGame-draco-glb,3,38.4675,33.7722,48.244800000000005,33.3855,48.244800000000005
rapidjson-fresh,ABeautifulGame-glb,3,81.4314,80.213,88.01389999999999,76.0673,88.01389999999999
rapidjson-fresh,Avocado-glb,3,23.794566666666668,21.3491,28.7426,21.292,28.7426
rapidjson-fresh,NodePerformanceTest-glb,3,1824.7567666666666,1818.7082,1843.1926,1812.3695,1843.1926
rapidjson-fresh,SpecularTest-glb,3,4.7301,4.7852,4.940300000000001,4.4648,4.940300000000001
clean-spike,ABeautifulGame-draco-glb,10,36.49344,36.29745,38.4086,35.893800000000006,38.4086
clean-spike,ABeautifulGame-glb,10,82.38115,81.74035,87.85210000000001,79.82419999999999,87.85210000000001
clean-spike,Avocado-glb,10,24.89828,24.035200000000003,33.2051,22.893,33.2051
clean-spike,NodePerformanceTest-glb,10,1936.11713,1923.5055499999999,2003.4183,1900.403,2003.4183
clean-spike,SpecularTest-glb,10,7.71832,7.57625,8.7535,7.2524,8.7535
