"case","variant","n","mean_ms","median_ms","p95_ms"
"ABeautifulGame-draco-glb","current","20","38.122","37.819","39.483"
"ABeautifulGame-draco-glb","sax-scalar-unique-fallback","20","40.456","38.802","50.956"
"ABeautifulGame-glb","current","20","91.192","85.221","115.401"
"ABeautifulGame-glb","sax-scalar-unique-fallback","20","88.342","86.862","100.772"
"Avocado-glb","current","20","27.057","24.849","37.02"
"Avocado-glb","sax-scalar-unique-fallback","20","25.651","24.61","29.193"
"SpecularTest-glb","current","20","9.484","8.508","13.416"
"SpecularTest-glb","sax-scalar-unique-fallback","20","8.815","8.34","12.004"
