"variant","case_id","sample","warmup","total_load_us","file_json_us","file_open_us","json_chunk_us","strict_parse_us","validation_dom_us","schema_compile_us","schema_locate_us","schema_parse_us","schema_populate_us","validate_us","typed_us","resources_us","accessors_us","animations_us","buffers_us","buffer_views_us","cameras_us","images_us","materials_us","meshes_us","nodes_us","samplers_us","scenes_us","skins_us","textures_us","typed_other_us","serializer_dom_us","serializer_text_us","resource_write_us","cache_setup_us","input_bytes","json_bytes","resource_bytes","buffer_read_us","image_read_us","buffer_bytes","image_bytes","after_input_ws","after_input_private","after_input_peak","after_parse_ws","after_parse_private","after_parse_peak","after_validation_dom_ws","after_validation_dom_private","after_validation_dom_peak","after_schema_ws","after_schema_private","after_schema_peak","after_validation_ws","after_validation_private","after_validation_peak","after_typed_ws","after_typed_private","after_typed_peak","after_resources_ws","after_resources_private","after_resources_peak","after_serialization_ws","after_serialization_private","after_serialization_peak","schema_locator_calls","schema_documents_parsed","schema_bytes_parsed","parser_parent_scan_loops","parser_parent_scan_elements","schema_adapter_find_calls","schema_adapter_find_scans","schema_adapter_members","schema_adapter_constructions","schema_constraints","schema_traversals","validation_adapter_find_calls","validation_adapter_find_scans","validation_adapter_members","validation_adapter_constructions","validation_string_copies","validation_string_bytes","validation_index_builds","validation_index_members","validation_constraints","validation_traversals","validation_allof","validation_anyof","validation_oneof","validation_properties","validation_required","validation_items","validation_types","validation_unique_items","validation_unique_comparisons","validation_unique_scalar_values","typed_find_calls","typed_find_scans","status","pair","execution_order"
"current","Avocado-glb","0","false","37019.599999999999","918.70000000000005","845","73.700000000000003","312","0.10000000000000001","7679.6999999999998","3572.9000000000001","3486.9000000000001","7355.3999999999996","389.80000000000001","328.30000000000001","27357.099999999999","59.799999999999997","0.69999999999999996","12.1","42.899999999999999","2.5","16.100000000000001","20.899999999999999","18.600000000000001","7.9000000000000004","0.69999999999999996","6","0.69999999999999996","42.600000000000001","19.700000000000003","0","0","0","0","8110040","1524","16193390","14581.200000000001","12775.9","8108488","8084902","5341184","851968","5341184","5525504","851968","5525504","5525504","851968","5525504","6250496","1314816","6250496","6320128","1314816","6320128","6569984","1335296","6569984","22798336","17571840","22798336","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","1","1"
"sax-scalar-unique-fallback","Avocado-glb","0","false","25043.900000000001","670.80000000000007","623.10000000000002","47.700000000000003","181.30000000000001","0.10000000000000001","4881.6000000000004","2262.1999999999998","2214.3999999999996","4636.3000000000002","218.30000000000001","212.69999999999999","18855.099999999999","60.399999999999999","0.40000000000000002","8.1999999999999993","28.399999999999999","1.8999999999999999","10.9","13.6","12.699999999999999","4.7000000000000002","0.69999999999999996","4.7000000000000002","0.40000000000000002","5.7000000000000002","14.4","0","0","0","0","8110040","1524","16193390","9389.5","9465.6000000000004","8108488","8084902","5337088","888832","5337088","5484544","888832","5484544","5484544","888832","5484544","6275072","1368064","6275072","6344704","1368064","6344704","6586368","1380352","6586368","22822912","17616896","22822912","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","1","2"
"sax-scalar-unique-fallback","Avocado-glb","0","false","23980.900000000001","703.39999999999998","652.5","50.899999999999999","184.90000000000001","0.10000000000000001","4350.5","2071.5","2025.4999999999995","4129.6999999999998","203.09999999999999","213.30000000000001","18302.900000000001","39.100000000000001","0.5","7.9000000000000004","48.899999999999999","1.8999999999999999","10.4","12.800000000000001","12.5","4.7999999999999998","0.59999999999999998","4.2000000000000002","0.5","5.7000000000000002","14.4","0","0","0","0","8110040","1524","16193390","9237.1000000000004","9065.7999999999993","8108488","8084902","5357568","888832","5357568","5505024","892928","5505024","5505024","892928","5505024","6291456","1368064","6291456","6361088","1368064","6361088","6606848","1384448","6606848","22835200","17616896","22835200","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","2","1"
"current","Avocado-glb","0","false","25043.400000000001","683.79999999999995","634","49.799999999999997","224.40000000000001","0","4318.3000000000002","2034.1999999999998","1985.9999999999998","4117.3999999999996","233.80000000000001","288.5","19267.799999999999","34.700000000000003","0.40000000000000002","8.4000000000000004","30.300000000000001","2.6000000000000001","16.100000000000001","65","19.399999999999999","7.7000000000000002","21.199999999999999","7.0999999999999996","0.69999999999999996","9.8000000000000007","14.299999999999999","0","0","0","0","8110040","1524","16193390","9838.5","9429.2999999999993","8108488","8084902","5365760","888832","5365760","5566464","888832","5566464","5566464","888832","5566464","6283264","1355776","6283264","6352896","1355776","6352896","6615040","1368064","6615040","22847488","17600512","22847488","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","2","2"
"current","Avocado-glb","0","false","30307.299999999999","870.79999999999995","810.89999999999998","59.899999999999999","279.10000000000002","0.20000000000000001","5113.3999999999996","2439.3999999999992","2381.0000000000005","4793.5","340.80000000000001","257.39999999999998","23412.199999999997","57.299999999999997","0.59999999999999998","10.6","30.5","2.5","14.300000000000001","17.100000000000001","16.600000000000001","7","0.80000000000000004","5.2999999999999998","0.59999999999999998","17","17.399999999999999","0","0","0","0","8110040","1524","16193390","12261.9","11150.299999999999","8108488","8084902","5353472","884736","5353472","5533696","884736","5533696","5533696","884736","5533696","6266880","1355776","6266880","6336512","1355776","6336512","6574080","1376256","6574080","22822912","17608704","22822912","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","3","1"
"sax-scalar-unique-fallback","Avocado-glb","0","false","37988.099999999999","911.19999999999993","843.89999999999998","67.299999999999997","278","0.10000000000000001","7388.8000000000002","3426.7999999999997","3350.9999999999995","7020.6000000000004","359.10000000000002","294","28720.099999999999","62.600000000000001","0.69999999999999996","11.9","41.600000000000001","3","16.199999999999999","19.600000000000001","20.600000000000001","7.9000000000000004","0.59999999999999998","6.2999999999999998","0.90000000000000002","10.699999999999999","27.400000000000002","0","0","0","0","8110040","1524","16193390","13012.6","15707.5","8108488","8084902","5357568","897024","5357568","5505024","897024","5505024","5505024","897024","5505024","6270976","1347584","6270976","6348800","1355776","6348800","6578176","1372160","6578176","22822912","17608704","22822912","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","3","2"
"sax-scalar-unique-fallback","Avocado-glb","0","false","29192.599999999999","789.79999999999995","738","51.799999999999997","180","0.10000000000000001","6897.6999999999998","3227.0999999999999","3158.0000000000005","6678.8999999999996","345.60000000000002","303.89999999999998","20644.299999999999","75.900000000000006","0.59999999999999998","11.300000000000001","41.600000000000001","3","16.5","20.699999999999999","25.399999999999999","8.0999999999999996","0.59999999999999998","6.2999999999999998","0.69999999999999996","9.6999999999999993","18.5","0","0","0","0","8110040","1524","16193390","11537.4","9106.8999999999996","8108488","8084902","5349376","888832","5349376","5492736","888832","5492736","5492736","888832","5492736","6279168","1363968","6279168","6348800","1363968","6348800","6590464","1392640","6590464","22827008","17625088","22827008","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","4","1"
"current","Avocado-glb","0","false","24214.599999999999","697.5","650.5","47","201.90000000000001","0.10000000000000001","4316.1999999999998","2008.0000000000002","1960.6000000000001","4083.5999999999999","231.90000000000001","184.09999999999999","18556.299999999999","37.200000000000003","0.40000000000000002","8.3000000000000007","25","1.8999999999999999","10.6","13","12.6","5","0.5","4.2000000000000002","0.5","6","13.699999999999999","0","0","0","0","8110040","1524","16193390","9340.7999999999993","9215.5","8108488","8084902","5349376","897024","5349376","5529600","897024","5529600","5529600","897024","5529600","6254592","1355776","6254592","6332416","1363968","6332416","6561792","1380352","6561792","22790144","17616896","22790144","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","4","2"
"current","Avocado-glb","0","false","24294.900000000001","726.10000000000002","675.39999999999998","50.700000000000003","201.69999999999999","0.10000000000000001","4350.5","2083.4000000000001","2038.0999999999999","4147.8999999999996","234.5","212.40000000000001","18543.799999999999","61.799999999999997","0.5","10.4","26.600000000000001","1.8999999999999999","10.5","13.199999999999999","12.4","4.7999999999999998","0.5","4.0999999999999996","0.40000000000000002","6","14","0","0","0","0","8110040","1524","16193390","9569.8999999999996","8973.8999999999996","8108488","8084902","5386240","897024","5386240","5566464","897024","5566464","5566464","897024","5566464","6316032","1384448","6316032","6385664","1384448","6385664","6627328","1396736","6627328","22867968","17633280","22867968","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","5","1"
"sax-scalar-unique-fallback","Avocado-glb","0","false","24274.099999999999","665.29999999999995","606.79999999999995","58.5","179.19999999999999","0.10000000000000001","4390.1999999999998","2123.3999999999996","2073.0999999999999","4159.6000000000004","192.09999999999999","199.5","18617.900000000001","36.600000000000001","0.5","7.9000000000000004","25.399999999999999","1.8","10.199999999999999","12.5","12.1","4.5999999999999996","0.69999999999999996","4.4000000000000004","0.5","5.5999999999999996","33.600000000000001","0","0","0","0","8110040","1524","16193390","9572.1000000000004","9045.7999999999993","8108488","8084902","5345280","892928","5345280","5492736","892928","5492736","5492736","892928","5492736","6279168","1376256","6279168","6348800","1376256","6348800","6594560","1388544","6594560","22831104","17625088","22831104","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","5","2"
