"variant","case_id","sample","warmup","total_load_us","file_json_us","file_open_us","json_chunk_us","strict_parse_us","validation_dom_us","schema_compile_us","schema_locate_us","schema_parse_us","schema_populate_us","validate_us","typed_us","resources_us","accessors_us","animations_us","buffers_us","buffer_views_us","cameras_us","images_us","materials_us","meshes_us","nodes_us","samplers_us","scenes_us","skins_us","textures_us","typed_other_us","serializer_dom_us","serializer_text_us","resource_write_us","cache_setup_us","input_bytes","json_bytes","resource_bytes","buffer_read_us","image_read_us","buffer_bytes","image_bytes","after_input_ws","after_input_private","after_input_peak","after_parse_ws","after_parse_private","after_parse_peak","after_validation_dom_ws","after_validation_dom_private","after_validation_dom_peak","after_schema_ws","after_schema_private","after_schema_peak","after_validation_ws","after_validation_private","after_validation_peak","after_typed_ws","after_typed_private","after_typed_peak","after_resources_ws","after_resources_private","after_resources_peak","after_serialization_ws","after_serialization_private","after_serialization_peak","schema_locator_calls","schema_documents_parsed","schema_bytes_parsed","parser_parent_scan_loops","parser_parent_scan_elements","schema_adapter_find_calls","schema_adapter_find_scans","schema_adapter_members","schema_adapter_constructions","schema_constraints","schema_traversals","validation_adapter_find_calls","validation_adapter_find_scans","validation_adapter_members","validation_adapter_constructions","validation_string_copies","validation_string_bytes","validation_index_builds","validation_index_members","validation_constraints","validation_traversals","validation_allof","validation_anyof","validation_oneof","validation_properties","validation_required","validation_items","validation_types","validation_unique_items","validation_unique_comparisons","validation_unique_scalar_values","typed_find_calls","typed_find_scans","status","pair","execution_order"
"sax-scalar-unique-fallback","Avocado-glb","0","false","23789.299999999999","668.39999999999998","624.10000000000002","44.299999999999997","168.09999999999999","0.20000000000000001","4379.6000000000004","2033.6000000000006","1983.2999999999995","4156.8000000000002","221.5","190.5","18138.900000000001","38.899999999999999","0.40000000000000002","7.9000000000000004","24.899999999999999","2.1000000000000001","10.699999999999999","13.199999999999999","12.800000000000001","5.0999999999999996","0.5","4.5","0.5","6.2000000000000002","13.9","0","0","0","0","8110040","1524","16193390","8997.2999999999993","9141.6000000000004","8108488","8084902","5353472","897024","5353472","5496832","897024","5496832","5496832","897024","5496832","6262784","1359872","6262784","6332416","1359872","6332416","6565888","1376256","6565888","22802432","17612800","22802432","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","6","1"
"current","Avocado-glb","0","false","31931.799999999999","998.29999999999995","930.89999999999998","67.400000000000006","319.60000000000002","0.10000000000000001","6839.3000000000002","3419.5","3334.5000000000005","6520.8000000000002","244.09999999999999","209.69999999999999","23289.199999999997","38","0.5","15.199999999999999","28.300000000000001","1.8999999999999999","10.9","14.9","17.399999999999999","7.9000000000000004","0.59999999999999998","5.7000000000000002","0.40000000000000002","6.0999999999999996","13.9","0","0","0","0","8110040","1524","16193390","11634.4","11654.799999999999","8108488","8084902","5357568","897024","5357568","5545984","897024","5545984","5545984","897024","5545984","6299648","1380352","6299648","6369280","1380352","6369280","6598656","1392640","6598656","22831104","17629184","22831104","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","6","2"
"current","Avocado-glb","0","false","25819.599999999999","707.39999999999998","659.39999999999998","48","201.40000000000001","0.10000000000000001","4357.1999999999998","2066.2000000000003","2018.2","4151.8999999999996","251.40000000000001","185.40000000000001","20092.699999999997","36.399999999999999","0.5","8","25.800000000000001","1.8999999999999999","10.800000000000001","13.5","12.800000000000001","4.7999999999999998","0.5","4.2999999999999998","0.40000000000000002","6.0999999999999996","13.799999999999999","0","0","0","0","8110040","1524","16193390","11010.299999999999","9082.3999999999996","8108488","8084902","5341184","892928","5341184","5521408","892928","5521408","5521408","892928","5521408","6254592","1355776","6254592","6324224","1355776","6324224","6553600","1368064","6553600","22806528","17604608","22806528","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","7","1"
"sax-scalar-unique-fallback","Avocado-glb","0","false","24845.400000000001","724.20000000000005","676.10000000000002","48.100000000000001","181.80000000000001","0.10000000000000001","4370.3000000000002","2065.5","2018.5999999999999","4150.6000000000004","204.59999999999999","215.90000000000001","19125.799999999999","37.799999999999997","0.40000000000000002","8.1999999999999993","27.199999999999999","1.8999999999999999","10.699999999999999","13.4","12.800000000000001","4.9000000000000004","0.59999999999999998","4.2999999999999998","0.5","5.7999999999999998","14.9","0","0","0","0","8110040","1524","16193390","9649.7999999999993","9476","8108488","8084902","5361664","901120","5361664","5505024","901120","5505024","5505024","901120","5505024","6283264","1372160","6283264","6352896","1372160","6352896","6598656","1384448","6598656","22835200","17620992","22835200","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","7","2"
"sax-scalar-unique-fallback","Avocado-glb","0","false","24390.700000000001","794.10000000000002","744.5","49.600000000000001","185.09999999999999","0.20000000000000001","4382.3999999999996","2082.9000000000001","2027.1000000000001","4162.1999999999998","203.30000000000001","210.09999999999999","18594","61.600000000000001","0.5","8.0999999999999996","25.800000000000001","1.8999999999999999","10.9","13.4","12.4","4.7000000000000002","0.90000000000000002","4.7000000000000002","0.5","5.5999999999999996","13.4","0","0","0","0","8110040","1524","16193390","9241.6000000000004","9352.3999999999996","8108488","8084902","5349376","892928","5349376","5496832","892928","5496832","5496832","892928","5496832","6283264","1363968","6283264","6352896","1363968","6352896","6594560","1380352","6594560","22818816","17616896","22818816","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","8","1"
"current","Avocado-glb","0","false","23839.700000000001","694.70000000000005","646.60000000000002","48.100000000000001","200.59999999999999","0.20000000000000001","4335.8000000000002","2056.9000000000001","2004.8","4134.5","223.30000000000001","209.69999999999999","18153.099999999999","37.600000000000001","0.5","8","49.700000000000003","2.2000000000000002","10.6","13.300000000000001","12.1","4.9000000000000004","0.59999999999999998","5","0.5","5.7000000000000002","13.9","0","0","0","0","8110040","1524","16193390","9225.7000000000007","8927.3999999999996","8108488","8084902","5386240","888832","5386240","5570560","888832","5570560","5570560","888832","5570560","6328320","1376256","6328320","6397952","1376256","6397952","6639616","1388544","6639616","22859776","17620992","22859776","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","8","2"
"current","Avocado-glb","0","false","24560.099999999999","672.89999999999998","625","47.899999999999999","203.5","0.10000000000000001","4425.3000000000002","2060.0000000000005","2010.9000000000001","4196.8999999999996","243.40000000000001","190","18800.400000000001","38.5","0.5","7.9000000000000004","27.100000000000001","2","10.800000000000001","13.4","12.6","4.5999999999999996","0.5","4.0999999999999996","0.5","5.7000000000000002","14","0","0","0","0","8110040","1524","16193390","9435","9365.3999999999996","8108488","8084902","5341184","897024","5341184","5521408","897024","5521408","5521408","897024","5521408","6254592","1372160","6254592","6324224","1372160","6324224","6557696","1384448","6557696","22798336","17620992","22798336","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","9","1"
"sax-scalar-unique-fallback","Avocado-glb","0","false","23873.200000000001","718.10000000000002","668.60000000000002","49.5","181.5","0.20000000000000001","4306","2041.1000000000004","1980.3999999999999","4064.3000000000002","189.90000000000001","183.19999999999999","18270.400000000001","38.600000000000001","0.40000000000000002","7.9000000000000004","24.600000000000001","1.8","10.4","13.1","12.5","4.5999999999999996","0.59999999999999998","4.2999999999999998","0.40000000000000002","5.9000000000000004","13.4","0","0","0","0","8110040","1524","16193390","9289.6000000000004","8980.7999999999993","8108488","8084902","5328896","892928","5328896","5476352","892928","5476352","5476352","892928","5476352","6250496","1372160","6250496","6320128","1372160","6320128","6549504","1384448","6549504","22786048","17616896","22786048","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","9","2"
"sax-scalar-unique-fallback","Avocado-glb","0","false","24488.200000000001","668.29999999999995","620","48.299999999999997","176.90000000000001","0.10000000000000001","4216.3000000000002","1954.8000000000002","1907.1999999999996","4006.1999999999998","197.30000000000001","180.90000000000001","19009.400000000001","37.600000000000001","0.40000000000000002","7.7999999999999998","24.199999999999999","1.8999999999999999","10.4","13.300000000000001","12.1","4.4000000000000004","0.5","4.5999999999999996","0.5","5.7999999999999998","13.6","0","0","0","0","8110040","1524","16193390","9194.7999999999993","9814.6000000000004","8108488","8084902","5349376","897024","5349376","5496832","897024","5496832","5496832","897024","5496832","6283264","1368064","6283264","6352896","1368064","6352896","6582272","1384448","6582272","22798336","17620992","22798336","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","10","1"
"current","Avocado-glb","0","false","24632.299999999999","705.20000000000005","656","49.200000000000003","205","0.20000000000000001","4977.1999999999998","2636.1999999999998","2358.1999999999998","4776.6999999999998","265.60000000000002","188.69999999999999","18264.099999999999","38.100000000000001","0.40000000000000002","8.1999999999999993","27","2","10.6","12.699999999999999","12.4","5","0.5","4.0999999999999996","0.5","5.7000000000000002","13.799999999999999","0","0","0","0","8110040","1524","16193390","9344.7000000000007","8919.3999999999996","8108488","8084902","5341184","897024","5341184","5521408","897024","5521408","5521408","897024","5521408","6266880","1372160","6266880","6340608","1372160","6340608","6574080","1384448","6574080","22802432","17620992","22802432","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","10","2"
"current","Avocado-glb","0","false","28836.700000000001","882.10000000000002","829.60000000000002","52.5","203.30000000000001","0.20000000000000001","4328.6000000000004","2068.3999999999996","2018.1999999999996","4125.5","242.59999999999999","190.5","22964.700000000001","37","0.40000000000000002","8.1999999999999993","26.5","1.8999999999999999","11.5","13.5","12.4","5","0.59999999999999998","4.2000000000000002","0.5","6.2000000000000002","13.9","0","0","0","0","8110040","1524","16193390","10446.5","12518.200000000001","8108488","8084902","5337088","884736","5337088","5517312","884736","5517312","5517312","884736","5517312","6246400","1339392","6246400","6316032","1339392","6316032","6549504","1359872","6549504","22798336","17596416","22798336","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","11","1"
"sax-scalar-unique-fallback","Avocado-glb","0","false","24922.400000000001","704.89999999999998","622.60000000000002","82.299999999999997","210.30000000000001","0.10000000000000001","4839.1000000000004","2333.0000000000009","2281.1000000000004","4499","200.59999999999999","182","18759.900000000001","35.5","0.40000000000000002","7.7000000000000002","25.600000000000001","1.8","10.199999999999999","12.6","12","4.5","0.59999999999999998","3.8999999999999999","0.40000000000000002","5.7000000000000002","13.5","0","0","0","0","8110040","1524","16193390","9450.5","9309.3999999999996","8108488","8084902","5382144","847872","5382144","5525504","888832","5525504","5525504","888832","5525504","6324224","1363968","6324224","6393856","1363968","6393856","6623232","1376256","6623232","22839296","17612800","22839296","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","11","2"
"sax-scalar-unique-fallback","Avocado-glb","0","false","24853.5","830.60000000000002","783.89999999999998","46.700000000000003","177.80000000000001","0.10000000000000001","4264.5","1925.9999999999993","1880.4000000000003","4055.4000000000001","198.59999999999999","189.09999999999999","19169.800000000003","37.700000000000003","0.5","8.0999999999999996","25.300000000000001","1.8","10.300000000000001","13","12.699999999999999","4.5","0.40000000000000002","4.0999999999999996","0.5","5.9000000000000004","13.6","0","0","0","0","8110040","1524","16193390","10026.700000000001","9143.1000000000004","8108488","8084902","5328896","892928","5328896","5476352","892928","5476352","5476352","892928","5476352","6242304","1343488","6242304","6311936","1343488","6311936","6549504","1368064","6549504","22798336","17604608","22798336","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","12","1"
"current","Avocado-glb","0","false","27976.900000000001","835.80000000000007","784.70000000000005","51.100000000000001","203.30000000000001","0.10000000000000001","5178.8000000000002","2411.1999999999998","2351","4940","384.80000000000001","271.39999999999998","21067.5","62.399999999999999","0.59999999999999998","10.800000000000001","39","2.5","16.600000000000001","18.399999999999999","16","7.5","0.90000000000000002","6.0999999999999996","0.59999999999999998","8","19.399999999999999","0","0","0","0","8110040","1524","16193390","10358.200000000001","10709.299999999999","8108488","8084902","5373952","892928","5373952","5554176","892928","5554176","5554176","892928","5554176","6291456","1351680","6291456","6361088","1351680","6361088","6594560","1372160","6594560","22835200","17608704","22835200","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","12","2"
"current","Avocado-glb","0","false","39610.800000000003","1203.2","1134.2","69","298.89999999999998","0.20000000000000001","7088.6000000000004","3401.0999999999995","3317.1999999999998","6784.1000000000004","411.60000000000002","281.60000000000002","30282.099999999999","53.399999999999999","0.59999999999999998","11.699999999999999","46.200000000000003","2.6000000000000001","16.399999999999999","20.699999999999999","17.699999999999999","7.7000000000000002","0.69999999999999996","6.2000000000000002","0.59999999999999998","9.8000000000000007","19.399999999999999","0","0","0","0","8110040","1524","16193390","13159.799999999999","17122.299999999999","8108488","8084902","5361664","892928","5361664","5541888","892928","5541888","5541888","892928","5541888","6279168","1351680","6279168","6348800","1351680","6348800","6574080","1363968","6574080","22822912","17600512","22822912","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","13","1"
"sax-scalar-unique-fallback","Avocado-glb","0","false","27743.599999999999","915.29999999999995","843.79999999999995","71.5","316.89999999999998","0.29999999999999999","6134.8000000000002","2874.4000000000005","2800.6000000000004","5868.3000000000002","226.09999999999999","198.59999999999999","19921.5","44","0.5","8.4000000000000004","21.300000000000001","2","10.9","13.4","12.800000000000001","4.4000000000000004","0.40000000000000002","4.4000000000000004","0.5","11.800000000000001","13.799999999999999","0","0","0","0","8110040","1524","16193390","10611.200000000001","9310.2999999999993","8108488","8084902","5361664","884736","5361664","5525504","884736","5525504","5525504","884736","5525504","6283264","1359872","6283264","6352896","1359872","6352896","6594560","1380352","6594560","22827008","17616896","22827008","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","13","2"
"sax-scalar-unique-fallback","Avocado-glb","0","false","23872.599999999999","672.10000000000002","626","46.100000000000001","206.59999999999999","0.20000000000000001","4325.1999999999998","2055.2999999999997","2003.3","4101","198.19999999999999","189.90000000000001","18257","44.100000000000001","0.5","8.0999999999999996","25.199999999999999","1.8999999999999999","10.800000000000001","13.199999999999999","12.300000000000001","4.5999999999999996","0.5","4.2000000000000002","0.59999999999999998","5.7000000000000002","13.4","0","0","0","0","8110040","1524","16193390","9294.5","8962.5","8108488","8084902","5341184","897024","5341184","5513216","897024","5513216","5513216","897024","5513216","6270976","1359872","6270976","6340608","1359872","6340608","6574080","1380352","6574080","22794240","17616896","22794240","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","14","1"
"current","Avocado-glb","0","false","24655.200000000001","678.5","627.79999999999995","50.700000000000003","201.40000000000001","0.10000000000000001","4263.1999999999998","2007.7999999999997","1939.8999999999996","4037.8000000000002","239.59999999999999","181.5","19067.099999999999","34.399999999999999","0.5","8.4000000000000004","26.100000000000001","2.1000000000000001","10.5","12.4","12.4","5.2999999999999998","0.5","4.4000000000000004","0.5","6.2000000000000002","13.299999999999999","0","0","0","0","8110040","1524","16193390","9660.7000000000007","9406.3999999999996","8108488","8084902","5361664","901120","5361664","5541888","901120","5541888","5541888","901120","5541888","6283264","1368064","6283264","6352896","1368064","6352896","6578176","1380352","6578176","22794240","17616896","22794240","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","14","2"
"current","Avocado-glb","0","false","26565.799999999999","718.70000000000005","670.70000000000005","48","207.5","0.10000000000000001","5881.5","2778.3000000000002","2720.9999999999995","5683.6000000000004","264.60000000000002","221.59999999999999","19230.599999999999","38.799999999999997","0.5","7.9000000000000004","26.199999999999999","1.8999999999999999","40.799999999999997","14.4","13.199999999999999","5.2000000000000002","1","4.2000000000000002","0.5","6.0999999999999996","14","0","0","0","0","8110040","1524","16193390","10006.4","9224.2000000000007","8108488","8084902","5341184","897024","5341184","5525504","897024","5525504","5525504","897024","5525504","6238208","1343488","6238208","6316032","1351680","6316032","6557696","1368064","6557696","22806528","17600512","22806528","0","0","0","33","33","71456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ok","15","1"
