cohort,implementation,source_commit,case_id,asset,format,operation,sample,order_seed,elapsed_us,input_bytes,output_directory,semantic_status
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,Avocado-glb,Avocado,glb,roundtrip,3,3903,77889.199999999997,8110040,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-3\Avocado-glb-roundtrip,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,Avocado-glb,Avocado,glb,load,3,3903,34356.099999999999,8110040,,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,NodePerformanceTest-glb,NodePerformanceTest,glb,export,1,3991,899892.59999999998,37986536,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-1\NodePerformanceTest-glb-export,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-glb,ABeautifulGame,glb,roundtrip,1,3991,329391.20000000001,42977928,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-1\ABeautifulGame-glb-roundtrip,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,SpecularTest-glb,SpecularTest,glb,roundtrip,1,3991,10497.1,223376,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-1\SpecularTest-glb-roundtrip,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,NodePerformanceTest-glb,NodePerformanceTest,glb,roundtrip,1,3991,16050342.5,37986536,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-1\NodePerformanceTest-glb-roundtrip,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,SpecularTest-glb,SpecularTest,glb,export,1,3991,2910.9000000000001,223376,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-1\SpecularTest-glb-export,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-glb,ABeautifulGame,glb,export,1,3991,246319.70000000001,42977928,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-1\ABeautifulGame-glb-export,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-draco-glb,ABeautifulGame,glb,roundtrip,1,3991,106450.89999999999,12105252,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-1\ABeautifulGame-draco-glb-roundtrip,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-glb,ABeautifulGame,glb,load,1,3991,79767.800000000003,42977928,,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,Avocado-glb,Avocado,glb,load,1,3991,22746.299999999999,8110040,,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,Avocado-glb,Avocado,glb,roundtrip,1,3991,82784.100000000006,8110040,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-1\Avocado-glb-roundtrip,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-draco-glb,ABeautifulGame,glb,load,1,3991,36323.900000000001,12105252,,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-draco-glb,ABeautifulGame,glb,export,1,3991,69612.300000000003,12105252,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-1\ABeautifulGame-draco-glb-export,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,NodePerformanceTest-glb,NodePerformanceTest,glb,load,1,3991,15227115.699999999,37986536,,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,SpecularTest-glb,SpecularTest,glb,load,1,3991,8377.1000000000004,223376,,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,Avocado-glb,Avocado,glb,export,1,3991,56586,8110040,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-1\Avocado-glb-export,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,Avocado-glb,Avocado,glb,export,2,3992,49368.5,8110040,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-2\Avocado-glb-export,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,Avocado-glb,Avocado,glb,roundtrip,2,3992,73743.399999999994,8110040,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-2\Avocado-glb-roundtrip,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,SpecularTest-glb,SpecularTest,glb,roundtrip,2,3992,10258.6,223376,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-2\SpecularTest-glb-roundtrip,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-glb,ABeautifulGame,glb,roundtrip,2,3992,336847.79999999999,42977928,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-2\ABeautifulGame-glb-roundtrip,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,SpecularTest-glb,SpecularTest,glb,load,2,3992,7637.3999999999996,223376,,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-glb,ABeautifulGame,glb,load,2,3992,84233.5,42977928,,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,SpecularTest-glb,SpecularTest,glb,export,2,3992,2843.9000000000001,223376,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-2\SpecularTest-glb-export,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,NodePerformanceTest-glb,NodePerformanceTest,glb,load,2,3992,15202488.300000001,37986536,,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-draco-glb,ABeautifulGame,glb,roundtrip,2,3992,112780.7,12105252,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-2\ABeautifulGame-draco-glb-roundtrip,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,NodePerformanceTest-glb,NodePerformanceTest,glb,roundtrip,2,3992,16265886.5,37986536,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-2\NodePerformanceTest-glb-roundtrip,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-draco-glb,ABeautifulGame,glb,export,2,3992,82631,12105252,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-2\ABeautifulGame-draco-glb-export,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,Avocado-glb,Avocado,glb,load,2,3992,23541.900000000001,8110040,,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-glb,ABeautifulGame,glb,export,2,3992,272408.20000000001,42977928,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-2\ABeautifulGame-glb-export,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-draco-glb,ABeautifulGame,glb,load,2,3992,37684.800000000003,12105252,,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,NodePerformanceTest-glb,NodePerformanceTest,glb,export,2,3992,838461.40000000002,37986536,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-2\NodePerformanceTest-glb-export,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,SpecularTest-glb,SpecularTest,glb,roundtrip,3,3993,11953.200000000001,223376,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-3\SpecularTest-glb-roundtrip,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-glb,ABeautifulGame,glb,export,3,3993,256690.29999999999,42977928,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-3\ABeautifulGame-glb-export,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,Avocado-glb,Avocado,glb,load,3,3993,23598.400000000001,8110040,,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-draco-glb,ABeautifulGame,glb,roundtrip,3,3993,112254.5,12105252,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-3\ABeautifulGame-draco-glb-roundtrip,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,NodePerformanceTest-glb,NodePerformanceTest,glb,load,3,3993,15378364.199999999,37986536,,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-draco-glb,ABeautifulGame,glb,export,3,3993,71211.300000000003,12105252,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-3\ABeautifulGame-draco-glb-export,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,NodePerformanceTest-glb,NodePerformanceTest,glb,export,3,3993,917521.59999999998,37986536,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-3\NodePerformanceTest-glb-export,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-glb,ABeautifulGame,glb,load,3,3993,86650.899999999994,42977928,,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,Avocado-glb,Avocado,glb,export,3,3993,48195.099999999999,8110040,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-3\Avocado-glb-export,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-glb,ABeautifulGame,glb,roundtrip,3,3993,329490.70000000001,42977928,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-3\ABeautifulGame-glb-roundtrip,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-draco-glb,ABeautifulGame,glb,load,3,3993,35809.199999999997,12105252,,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,Avocado-glb,Avocado,glb,roundtrip,3,3993,69388.899999999994,8110040,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-3\Avocado-glb-roundtrip,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,SpecularTest-glb,SpecularTest,glb,export,3,3993,2727.0999999999999,223376,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-3\SpecularTest-glb-export,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,NodePerformanceTest-glb,NodePerformanceTest,glb,roundtrip,3,3993,16053997.4,37986536,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-after\sample-3\NodePerformanceTest-glb-roundtrip,ok
current-after,nlohmann-2.0.0-baseline-after,15e30d85b320669527d49071be17847335a2f661,SpecularTest-glb,SpecularTest,glb,load,3,3993,7897.1000000000004,223376,,ok
rapidjson-fresh,rapidjson-1.9.5-reproduction,743b7ecd749a53e8d848db56839752a65205e915,Avocado-glb,Avocado,glb,load,1,39101,28742.599999999999,8110040,,ok
rapidjson-fresh,rapidjson-1.9.5-reproduction,743b7ecd749a53e8d848db56839752a65205e915,ABeautifulGame-draco-glb,ABeautifulGame,glb,export,1,39101,72537.600000000006,12105252,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\rapidjson-reproduction\sample-1\ABeautifulGame-draco-glb-export,ok
rapidjson-fresh,rapidjson-1.9.5-reproduction,743b7ecd749a53e8d848db56839752a65205e915,NodePerformanceTest-glb,NodePerformanceTest,glb,load,1,39101,1812369.5,37986536,,ok
rapidjson-fresh,rapidjson-1.9.5-reproduction,743b7ecd749a53e8d848db56839752a65205e915,SpecularTest-glb,SpecularTest,glb,load,1,39101,4785.1999999999998,223376,,ok
rapidjson-fresh,rapidjson-1.9.5-reproduction,743b7ecd749a53e8d848db56839752a65205e915,ABeautifulGame-glb,ABeautifulGame,glb,load,1,39101,80213,42977928,,ok
rapidjson-fresh,rapidjson-1.9.5-reproduction,743b7ecd749a53e8d848db56839752a65205e915,ABeautifulGame-draco-glb,ABeautifulGame,glb,roundtrip,1,39101,103766.8,12105252,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\rapidjson-reproduction\sample-1\ABeautifulGame-draco-glb-roundtrip,ok
rapidjson-fresh,rapidjson-1.9.5-reproduction,743b7ecd749a53e8d848db56839752a65205e915,NodePerformanceTest-glb,NodePerformanceTest,glb,export,1,39101,324214.20000000001,37986536,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\rapidjson-reproduction\sample-1\NodePerformanceTest-glb-export,ok
rapidjson-fresh,rapidjson-1.9.5-reproduction,743b7ecd749a53e8d848db56839752a65205e915,ABeautifulGame-draco-glb,ABeautifulGame,glb,load,1,39101,33772.199999999997,12105252,,ok
rapidjson-fresh,rapidjson-1.9.5-reproduction,743b7ecd749a53e8d848db56839752a65205e915,Avocado-glb,Avocado,glb,export,1,39101,51416,8110040,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\rapidjson-reproduction\sample-1\Avocado-glb-export,ok
rapidjson-fresh,rapidjson-1.9.5-reproduction,743b7ecd749a53e8d848db56839752a65205e915,ABeautifulGame-glb,ABeautifulGame,glb,export,1,39101,252207.39999999999,42977928,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\rapidjson-reproduction\sample-1\ABeautifulGame-glb-export,ok
rapidjson-fresh,rapidjson-1.9.5-reproduction,743b7ecd749a53e8d848db56839752a65205e915,NodePerformanceTest-glb,NodePerformanceTest,glb,roundtrip,1,39101,2176707.5,37986536,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\rapidjson-reproduction\sample-1\NodePerformanceTest-glb-roundtrip,ok
rapidjson-fresh,rapidjson-1.9.5-reproduction,743b7ecd749a53e8d848db56839752a65205e915,SpecularTest-glb,SpecularTest,glb,roundtrip,1,39101,7592.8000000000002,223376,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\rapidjson-reproduction\sample-1\SpecularTest-glb-roundtrip,ok
rapidjson-fresh,rapidjson-1.9.5-reproduction,743b7ecd749a53e8d848db56839752a65205e915,SpecularTest-glb,SpecularTest,glb,export,1,39101,2213.4000000000001,223376,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\rapidjson-reproduction\sample-1\SpecularTest-glb-export,ok
rapidjson-fresh,rapidjson-1.9.5-reproduction,743b7ecd749a53e8d848db56839752a65205e915,ABeautifulGame-glb,ABeautifulGame,glb,roundtrip,1,39101,379961.09999999998,42977928,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\rapidjson-reproduction\sample-1\ABeautifulGame-glb-roundtrip,ok
rapidjson-fresh,rapidjson-1.9.5-reproduction,743b7ecd749a53e8d848db56839752a65205e915,Avocado-glb,Avocado,glb,roundtrip,1,39101,68408.800000000003,8110040,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\rapidjson-reproduction\sample-1\Avocado-glb-roundtrip,ok
rapidjson-fresh,rapidjson-1.9.5-reproduction,743b7ecd749a53e8d848db56839752a65205e915,ABeautifulGame-glb,ABeautifulGame,glb,roundtrip,2,39102,351457.79999999999,42977928,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\rapidjson-reproduction\sample-2\ABeautifulGame-glb-roundtrip,ok
rapidjson-fresh,rapidjson-1.9.5-reproduction,743b7ecd749a53e8d848db56839752a65205e915,NodePerformanceTest-glb,NodePerformanceTest,glb,export,2,39102,303758.70000000001,37986536,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\rapidjson-reproduction\sample-2\NodePerformanceTest-glb-export,ok
