cohort,implementation,source_commit,case_id,asset,format,operation,sample,order_seed,elapsed_us,input_bytes,output_directory,semantic_status
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,NodePerformanceTest-glb,NodePerformanceTest,glb,roundtrip,1,3901,20974225.800000001,37986536,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-1\NodePerformanceTest-glb-roundtrip,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-draco-glb,ABeautifulGame,glb,roundtrip,1,3901,128229.39999999999,12105252,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-1\ABeautifulGame-draco-glb-roundtrip,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,SpecularTest-glb,SpecularTest,glb,load,1,3901,7885.1999999999998,223376,,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-glb,ABeautifulGame,glb,roundtrip,1,3901,412666.90000000002,42977928,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-1\ABeautifulGame-glb-roundtrip,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-draco-glb,ABeautifulGame,glb,export,1,3901,90241.600000000006,12105252,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-1\ABeautifulGame-draco-glb-export,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,Avocado-glb,Avocado,glb,load,1,3901,52618,8110040,,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,Avocado-glb,Avocado,glb,roundtrip,1,3901,94415,8110040,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-1\Avocado-glb-roundtrip,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-draco-glb,ABeautifulGame,glb,load,1,3901,42252.5,12105252,,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,NodePerformanceTest-glb,NodePerformanceTest,glb,export,1,3901,987596.40000000002,37986536,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-1\NodePerformanceTest-glb-export,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,SpecularTest-glb,SpecularTest,glb,export,1,3901,3246.0999999999999,223376,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-1\SpecularTest-glb-export,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-glb,ABeautifulGame,glb,load,1,3901,87451.800000000003,42977928,,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,SpecularTest-glb,SpecularTest,glb,roundtrip,1,3901,11833.4,223376,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-1\SpecularTest-glb-roundtrip,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,Avocado-glb,Avocado,glb,export,1,3901,67356.800000000003,8110040,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-1\Avocado-glb-export,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-glb,ABeautifulGame,glb,export,1,3901,268482.09999999998,42977928,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-1\ABeautifulGame-glb-export,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,NodePerformanceTest-glb,NodePerformanceTest,glb,load,1,3901,17426546.699999999,37986536,,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,NodePerformanceTest-glb,NodePerformanceTest,glb,load,2,3902,17738328.899999999,37986536,,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,Avocado-glb,Avocado,glb,load,2,3902,30420,8110040,,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-glb,ABeautifulGame,glb,export,2,3902,285246.59999999998,42977928,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-2\ABeautifulGame-glb-export,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,NodePerformanceTest-glb,NodePerformanceTest,glb,roundtrip,2,3902,20750941.100000001,37986536,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-2\NodePerformanceTest-glb-roundtrip,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,Avocado-glb,Avocado,glb,export,2,3902,69181.699999999997,8110040,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-2\Avocado-glb-export,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-draco-glb,ABeautifulGame,glb,roundtrip,2,3902,127864.89999999999,12105252,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-2\ABeautifulGame-draco-glb-roundtrip,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,NodePerformanceTest-glb,NodePerformanceTest,glb,export,2,3902,1022107,37986536,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-2\NodePerformanceTest-glb-export,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,Avocado-glb,Avocado,glb,roundtrip,2,3902,76080.5,8110040,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-2\Avocado-glb-roundtrip,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-draco-glb,ABeautifulGame,glb,load,2,3902,42248.5,12105252,,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-glb,ABeautifulGame,glb,roundtrip,2,3902,397932.70000000001,42977928,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-2\ABeautifulGame-glb-roundtrip,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,SpecularTest-glb,SpecularTest,glb,roundtrip,2,3902,15660.5,223376,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-2\SpecularTest-glb-roundtrip,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-glb,ABeautifulGame,glb,load,2,3902,107979.89999999999,42977928,,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,SpecularTest-glb,SpecularTest,glb,load,2,3902,11236.1,223376,,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,SpecularTest-glb,SpecularTest,glb,export,2,3902,2977.1999999999998,223376,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-2\SpecularTest-glb-export,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-draco-glb,ABeautifulGame,glb,export,2,3902,85610.199999999997,12105252,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-2\ABeautifulGame-draco-glb-export,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,SpecularTest-glb,SpecularTest,glb,export,3,3903,3744.3000000000002,223376,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-3\SpecularTest-glb-export,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,NodePerformanceTest-glb,NodePerformanceTest,glb,export,3,3903,1226322.6000000001,37986536,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-3\NodePerformanceTest-glb-export,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,SpecularTest-glb,SpecularTest,glb,roundtrip,3,3903,17384.099999999999,223376,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-3\SpecularTest-glb-roundtrip,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-draco-glb,ABeautifulGame,glb,roundtrip,3,3903,135207.70000000001,12105252,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-3\ABeautifulGame-draco-glb-roundtrip,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-draco-glb,ABeautifulGame,glb,load,3,3903,41150.199999999997,12105252,,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-draco-glb,ABeautifulGame,glb,export,3,3903,103260,12105252,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-3\ABeautifulGame-draco-glb-export,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,NodePerformanceTest-glb,NodePerformanceTest,glb,roundtrip,3,3903,19267840.600000001,37986536,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-3\NodePerformanceTest-glb-roundtrip,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-glb,ABeautifulGame,glb,load,3,3903,133941.20000000001,42977928,,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-glb,ABeautifulGame,glb,roundtrip,3,3903,584572.19999999995,42977928,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-3\ABeautifulGame-glb-roundtrip,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,ABeautifulGame-glb,ABeautifulGame,glb,export,3,3903,533001.19999999995,42977928,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-3\ABeautifulGame-glb-export,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,Avocado-glb,Avocado,glb,export,3,3903,85000,8110040,E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\baseline-before\sample-3\Avocado-glb-export,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,NodePerformanceTest-glb,NodePerformanceTest,glb,load,3,3903,19105271.899999999,37986536,,ok
current-before,nlohmann-2.0.0-baseline,15e30d85b320669527d49071be17847335a2f661,SpecularTest-glb,SpecularTest,glb,load,3,3903,9857,223376,,ok
