group,case_id,variant,metric,samples,mean_us,median_us,p95_us,minimum_us,maximum_us
controls,ABeautifulGame-draco-glb,current,total_load_us,15,47366.22666666667,47546.7,66568.7,36868.9,66568.7
controls,ABeautifulGame-draco-glb,current,file_open_us,15,398.24666666666667,350.9,1080.4,299.3,1080.4
controls,ABeautifulGame-draco-glb,current,json_chunk_us,15,98.03333333333333,96.8,192.3,74.9,192.3
controls,ABeautifulGame-draco-glb,current,strict_parse_us,15,1818.1933333333334,1340.3,4181.6,1300.2,4181.6
controls,ABeautifulGame-draco-glb,current,validation_dom_us,15,0.2,0.1,0.5,0.0,0.5
controls,ABeautifulGame-draco-glb,current,schema_compile_us,15,5386.786666666667,4677.8,7836.9,4112.6,7836.9
controls,ABeautifulGame-draco-glb,current,schema_locate_us,15,2538.78,2218.8000000000006,3757.7,1893.5,3757.7
controls,ABeautifulGame-draco-glb,current,schema_parse_us,15,2453.4,2164.7000000000003,3642.4,1843.4999999999998,3642.4
controls,ABeautifulGame-draco-glb,current,schema_populate_us,15,5167.8133333333335,4483.6,7504.2,3951.9,7504.2
controls,ABeautifulGame-draco-glb,current,validate_us,15,2482.4666666666667,2563.3,4302.8,1671.2,4302.8
controls,ABeautifulGame-draco-glb,current,typed_us,15,1675.9333333333334,1437.0,2634.7,1221.0,2634.7
controls,ABeautifulGame-draco-glb,current,buffer_read_us,15,17092.213333333333,16216.1,27876.4,13901.6,27876.4
controls,ABeautifulGame-draco-glb,current,image_read_us,15,18389.96,18537.9,31086.7,13816.8,31086.7
controls,ABeautifulGame-draco-glb,current,accessors_us,15,162.18,146.8,235.7,113.7,235.7
controls,ABeautifulGame-draco-glb,current,animations_us,15,0.58,0.5,0.9,0.4,0.9
controls,ABeautifulGame-draco-glb,current,buffers_us,15,3.54,3.2,5.1,2.6,5.1
controls,ABeautifulGame-draco-glb,current,buffer_views_us,15,110.96000000000001,91.5,157.1,83.8,157.1
controls,ABeautifulGame-draco-glb,current,cameras_us,15,0.6333333333333333,0.5,1.5,0.4,1.5
controls,ABeautifulGame-draco-glb,current,images_us,15,118.4,98.7,198.3,83.7,198.3
controls,ABeautifulGame-draco-glb,current,materials_us,15,390.96,361.4,514.6,273.0,514.6
controls,ABeautifulGame-draco-glb,current,meshes_us,15,390.36,333.4,607.7,280.9,607.7
controls,ABeautifulGame-draco-glb,current,nodes_us,15,250.65333333333334,196.9,633.5,166.5,633.5
controls,ABeautifulGame-draco-glb,current,samplers_us,15,3.993333333333333,3.2,6.2,2.9,6.2
controls,ABeautifulGame-draco-glb,current,scenes_us,15,8.94,6.9,13.7,6.3,13.7
controls,ABeautifulGame-draco-glb,current,skins_us,15,0.72,0.7,1.2,0.5,1.2
controls,ABeautifulGame-draco-glb,current,textures_us,15,189.26,139.4,515.8,118.2,515.8
controls,ABeautifulGame-draco-glb,current,typed_other_us,15,11.26,10.9,16.0,8.0,16.0
controls,ABeautifulGame-draco-glb,current,serializer_dom_us,15,0.0,0.0,0.0,0.0,0.0
controls,ABeautifulGame-draco-glb,current,serializer_text_us,15,0.0,0.0,0.0,0.0,0.0
controls,ABeautifulGame-draco-glb,current,resource_write_us,15,0.0,0.0,0.0,0.0,0.0
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,total_load_us,15,44803.306666666664,44503.0,58502.4,36954.7,58502.4
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,file_open_us,15,499.38666666666666,325.5,2807.4,275.3,2807.4
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,json_chunk_us,15,94.95333333333333,95.0,128.3,73.3,128.3
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,strict_parse_us,15,1627.0733333333333,1278.8,2365.6,1202.0,2365.6
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,validation_dom_us,15,0.22,0.2,0.4,0.1,0.4
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,schema_compile_us,15,5041.5599999999995,4572.7,7670.2,4010.1,7670.2
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,schema_locate_us,15,2413.0733333333333,2170.8,3658.1,1877.8999999999999,3658.1
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,schema_parse_us,15,2347.64,2110.2000000000003,3565.0,1819.1999999999998,3565.0
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,schema_populate_us,15,4819.7266666666665,4336.6,7353.1,3840.4,7353.1
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,validate_us,15,1786.2066666666667,1484.1,2635.5,1424.9,2635.5
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,typed_us,15,1683.9866666666667,1400.6,2564.5,1217.0,2564.5
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,buffer_read_us,15,17070.239999999998,17637.1,20565.9,14019.8,20565.9
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,image_read_us,15,16977.226666666666,17061.9,20824.2,13993.2,20824.2
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,accessors_us,15,172.22,138.3,350.8,119.0,350.8
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,animations_us,15,0.6466666666666667,0.5,1.3,0.4,1.3
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,buffers_us,15,3.6,3.0,5.7,2.5,5.7
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,buffer_views_us,15,129.58666666666667,100.5,294.9,82.8,294.9
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,cameras_us,15,0.6666666666666666,0.6,1.3,0.5,1.3
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,images_us,15,116.25333333333333,88.8,220.5,77.3,220.5
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,materials_us,15,391.44,334.7,542.8,262.9,542.8
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,meshes_us,15,377.3466666666667,317.7,544.0,270.1,544.0
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,nodes_us,15,261.6933333333333,274.4,445.7,164.1,445.7
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,samplers_us,15,4.113333333333333,4.3,5.9,2.9,5.9
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,scenes_us,15,9.306666666666667,10.2,13.2,6.2,13.2
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,skins_us,15,0.7,0.7,0.9,0.5,0.9
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,textures_us,15,171.66666666666666,176.7,321.9,108.0,321.9
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,typed_other_us,15,10.746666666666666,11.0,14.399999999999999,7.699999999999999,14.399999999999999
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,serializer_dom_us,15,0.0,0.0,0.0,0.0,0.0
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,serializer_text_us,15,0.0,0.0,0.0,0.0,0.0
controls,ABeautifulGame-draco-glb,sax-scalar-unique-fallback,resource_write_us,15,0.0,0.0,0.0,0.0,0.0
controls,ABeautifulGame-glb,current,total_load_us,15,85103.34666666666,83049.5,102943.2,80434.3,102943.2
controls,ABeautifulGame-glb,current,file_open_us,15,320.78,311.8,384.8,278.0,384.8
controls,ABeautifulGame-glb,current,json_chunk_us,15,95.96000000000001,93.5,130.4,80.2,130.4
controls,ABeautifulGame-glb,current,strict_parse_us,15,2041.26,1916.1,3419.1,1885.2,3419.1
controls,ABeautifulGame-glb,current,validation_dom_us,15,0.14,0.1,0.3,0.1,0.3
controls,ABeautifulGame-glb,current,schema_compile_us,15,4402.293333333333,4099.5,6946.5,3922.7,6946.5
controls,ABeautifulGame-glb,current,schema_locate_us,15,2078.56,1932.7000000000003,3266.8,1832.1000000000001,3266.8
controls,ABeautifulGame-glb,current,schema_parse_us,15,2021.3733333333334,1871.7000000000005,3163.9999999999995,1780.8,3163.9999999999995
controls,ABeautifulGame-glb,current,schema_populate_us,15,4214.293333333333,3931.2,6681.0,3729.3,6681.0
controls,ABeautifulGame-glb,current,validate_us,15,2835.2400000000002,2654.4,4562.8,2556.3,4562.8
controls,ABeautifulGame-glb,current,typed_us,15,1418.8266666666666,1332.5,2324.7,1271.9,2324.7
controls,ABeautifulGame-glb,current,buffer_read_us,15,51289.34,50109.3,63734.7,48755.0,63734.7
controls,ABeautifulGame-glb,current,image_read_us,15,22680.186666666665,22361.6,24925.5,21303.5,24925.5
controls,ABeautifulGame-glb,current,accessors_us,15,336.91333333333336,318.5,571.9,302.1,571.9
controls,ABeautifulGame-glb,current,animations_us,15,0.5266666666666666,0.5,0.9,0.4,0.9
controls,ABeautifulGame-glb,current,buffers_us,15,2.7466666666666666,2.6,4.7,2.4,4.7
controls,ABeautifulGame-glb,current,buffer_views_us,15,278.49333333333334,266.6,454.3,241.7,454.3
controls,ABeautifulGame-glb,current,cameras_us,15,0.5866666666666667,0.5,1.1,0.5,1.1
controls,ABeautifulGame-glb,current,images_us,15,68.78,62.6,134.2,58.4,134.2
controls,ABeautifulGame-glb,current,materials_us,15,293.12,274.2,452.0,248.9,452.0
controls,ABeautifulGame-glb,current,meshes_us,15,110.25333333333333,101.3,168.0,86.1,168.0
controls,ABeautifulGame-glb,current,nodes_us,15,210.36666666666667,196.3,323.4,179.3,323.4
controls,ABeautifulGame-glb,current,samplers_us,15,3.1333333333333333,2.8,5.3,2.6,5.3
controls,ABeautifulGame-glb,current,scenes_us,15,6.866666666666667,6.4,10.1,6.2,10.1
controls,ABeautifulGame-glb,current,skins_us,15,0.6133333333333333,0.6,0.9,0.4,0.9
controls,ABeautifulGame-glb,current,textures_us,15,71.24666666666667,62.1,141.2,60.1,141.2
controls,ABeautifulGame-glb,current,typed_other_us,15,6.753333333333333,6.5,10.8,6.1,10.8
controls,ABeautifulGame-glb,current,serializer_dom_us,15,0.0,0.0,0.0,0.0,0.0
controls,ABeautifulGame-glb,current,serializer_text_us,15,0.0,0.0,0.0,0.0,0.0
controls,ABeautifulGame-glb,current,resource_write_us,15,0.0,0.0,0.0,0.0,0.0
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,total_load_us,15,89709.94666666667,86016.5,110240.6,82447.7,110240.6
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,file_open_us,15,322.6933333333333,323.4,362.8,275.1,362.8
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,json_chunk_us,15,98.12,89.2,152.6,79.4,152.6
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,strict_parse_us,15,1865.1133333333332,1691.3,2823.9,1676.8,2823.9
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,validation_dom_us,15,0.19333333333333333,0.1,0.6,0.0,0.6
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,schema_compile_us,15,4556.946666666667,4058.7,6932.8,3889.0,6932.8
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,schema_locate_us,15,2135.34,1893.6,3394.5,1793.8000000000002,3394.5
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,schema_parse_us,15,2080.3,1848.9000000000005,3301.6999999999994,1748.1000000000001,3301.6999999999994
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,schema_populate_us,15,4360.34,3889.8,6657.4,3724.4,6657.4
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,validate_us,15,2696.16,2305.8,4212.1,2260.6,4212.1
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,typed_us,15,1588.6933333333334,1333.9,2418.2,1259.9,2418.2
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,buffer_read_us,15,54537.77333333333,52011.8,67977.9,50071.3,67977.9
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,image_read_us,15,24014.406666666666,23056.8,30641.0,22263.5,30641.0
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,accessors_us,15,382.62666666666667,316.0,582.0,300.8,582.0
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,animations_us,15,0.56,0.5,0.9,0.4,0.9
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,buffers_us,15,3.2866666666666666,2.8,5.4,2.4,5.4
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,buffer_views_us,15,335.66,281.1,522.0,260.0,522.0
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,cameras_us,15,0.6933333333333334,0.6,1.1,0.5,1.1
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,images_us,15,77.84,65.7,122.6,58.6,122.6
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,materials_us,15,326.3333333333333,284.1,533.9,264.6,533.9
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,meshes_us,15,112.78666666666666,99.6,179.1,89.8,179.1
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,nodes_us,15,218.73333333333332,183.3,351.2,160.9,351.2
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,samplers_us,15,3.3066666666666666,2.9,4.9,2.7,4.9
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,scenes_us,15,7.246666666666667,6.4,12.3,6.0,12.3
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,skins_us,15,0.5533333333333333,0.5,0.8,0.4,0.8
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,textures_us,15,75.58,62.0,116.4,59.9,116.4
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,typed_other_us,15,7.633333333333334,6.800000000000001,11.3,6.3,11.3
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,serializer_dom_us,15,0.0,0.0,0.0,0.0,0.0
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,serializer_text_us,15,0.0,0.0,0.0,0.0,0.0
controls,ABeautifulGame-glb,sax-scalar-unique-fallback,resource_write_us,15,0.0,0.0,0.0,0.0,0.0
controls,Avocado-glb,current,total_load_us,15,24276.693333333333,23809.1,28022.1,22836.4,28022.1
controls,Avocado-glb,current,file_open_us,15,321.53999999999996,309.2,410.4,276.7,410.4
controls,Avocado-glb,current,json_chunk_us,15,47.06,42.2,94.1,36.8,94.1
controls,Avocado-glb,current,strict_parse_us,15,186.59333333333333,133.4,643.1,122.8,643.1
controls,Avocado-glb,current,validation_dom_us,15,0.16666666666666669,0.2,0.2,0.1,0.2
controls,Avocado-glb,current,schema_compile_us,15,4328.326666666667,4139.0,6197.9,3950.0,6197.9
controls,Avocado-glb,current,schema_locate_us,15,2087.8333333333335,1987.6,3042.9,1889.1999999999996,3042.9
controls,Avocado-glb,current,schema_parse_us,15,2031.24,1933.5,2960.5999999999995,1843.1,2960.5999999999995
controls,Avocado-glb,current,schema_populate_us,15,4113.3,3931.5,5848.9,3767.3,5848.9
controls,Avocado-glb,current,validate_us,15,217.31333333333333,210.6,290.9,186.3,290.9
controls,Avocado-glb,current,typed_us,15,113.08,112.5,132.7,101.9,132.7
controls,Avocado-glb,current,buffer_read_us,15,9599.2,9345.1,11551.0,9054.6,11551.0
controls,Avocado-glb,current,image_read_us,15,9447.166666666666,9157.5,11381.7,8897.4,11381.7
controls,Avocado-glb,current,accessors_us,15,21.453333333333333,21.0,26.0,18.5,26.0
controls,Avocado-glb,current,animations_us,15,0.4666666666666667,0.5,0.7,0.4,0.7
controls,Avocado-glb,current,buffers_us,15,2.62,2.7,2.9,2.3,2.9
controls,Avocado-glb,current,buffer_views_us,15,21.46666666666667,21.2,26.4,17.6,26.4
controls,Avocado-glb,current,cameras_us,15,0.48,0.5,0.5,0.4,0.5
controls,Avocado-glb,current,images_us,15,6.306666666666667,6.3,6.9,5.8,6.9
controls,Avocado-glb,current,materials_us,15,8.833333333333334,8.9,9.6,8.0,9.6
controls,Avocado-glb,current,meshes_us,15,6.946666666666666,6.9,7.5,6.4,7.5
controls,Avocado-glb,current,nodes_us,15,5.286666666666667,4.9,10.1,4.5,10.1
controls,Avocado-glb,current,samplers_us,15,0.54,0.5,0.7,0.4,0.7
controls,Avocado-glb,current,scenes_us,15,2.88,2.8,4.6,2.5,4.6
controls,Avocado-glb,current,skins_us,15,0.49333333333333335,0.5,0.7,0.4,0.7
controls,Avocado-glb,current,textures_us,15,8.28,8.0,14.5,5.6,14.5
controls,Avocado-glb,current,typed_other_us,15,6.12,5.1,20.1,4.6,20.1
controls,Avocado-glb,current,serializer_dom_us,15,0.0,0.0,0.0,0.0,0.0
controls,Avocado-glb,current,serializer_text_us,15,0.0,0.0,0.0,0.0,0.0
controls,Avocado-glb,current,resource_write_us,15,0.0,0.0,0.0,0.0,0.0
controls,Avocado-glb,sax-scalar-unique-fallback,total_load_us,15,34261.37333333333,28928.7,73915.9,24002.8,73915.9
controls,Avocado-glb,sax-scalar-unique-fallback,file_open_us,15,1259.5066666666667,340.2,7865.2,259.9,7865.2
controls,Avocado-glb,sax-scalar-unique-fallback,json_chunk_us,15,62.833333333333336,48.4,214.4,38.3,214.4
controls,Avocado-glb,sax-scalar-unique-fallback,strict_parse_us,15,203.38666666666666,193.8,538.5,118.3,538.5
controls,Avocado-glb,sax-scalar-unique-fallback,validation_dom_us,15,0.19333333333333333,0.2,0.4,0.1,0.4
controls,Avocado-glb,sax-scalar-unique-fallback,schema_compile_us,15,7303.633333333333,6754.2,25415.8,4088.6,25415.8
controls,Avocado-glb,sax-scalar-unique-fallback,schema_locate_us,15,3100.793333333333,3278.3,5666.199999999999,1956.3,5666.199999999999
controls,Avocado-glb,sax-scalar-unique-fallback,schema_parse_us,15,3022.9066666666668,3208.1,5545.900000000001,1909.4999999999998,5545.900000000001
controls,Avocado-glb,sax-scalar-unique-fallback,schema_populate_us,15,6999.72,6457.5,24908.8,3911.3,24908.8
controls,Avocado-glb,sax-scalar-unique-fallback,validate_us,15,295.9866666666667,306.9,667.9,178.4,667.9
controls,Avocado-glb,sax-scalar-unique-fallback,typed_us,15,187.45333333333335,175.5,625.2,106.5,625.2
controls,Avocado-glb,sax-scalar-unique-fallback,buffer_read_us,15,12579.726666666667,11812.4,20030.9,9232.2,20030.9
controls,Avocado-glb,sax-scalar-unique-fallback,image_read_us,15,12348.82,10149.6,22718.7,9297.9,22718.7
controls,Avocado-glb,sax-scalar-unique-fallback,accessors_us,15,38.92666666666667,34.1,153.1,20.0,153.1
controls,Avocado-glb,sax-scalar-unique-fallback,animations_us,15,0.6133333333333333,0.6,1.0,0.4,1.0
controls,Avocado-glb,sax-scalar-unique-fallback,buffers_us,15,3.7,3.7,6.5,2.4,6.5
controls,Avocado-glb,sax-scalar-unique-fallback,buffer_views_us,15,33.166666666666664,38.0,49.3,21.0,49.3
controls,Avocado-glb,sax-scalar-unique-fallback,cameras_us,15,0.5866666666666667,0.5,1.1,0.4,1.1
controls,Avocado-glb,sax-scalar-unique-fallback,images_us,15,9.066666666666666,9.7,15.4,6.1,15.4
controls,Avocado-glb,sax-scalar-unique-fallback,materials_us,15,12.773333333333333,14.9,20.5,8.4,20.5
controls,Avocado-glb,sax-scalar-unique-fallback,meshes_us,15,10.073333333333334,11.3,16.1,6.8,16.1
controls,Avocado-glb,sax-scalar-unique-fallback,nodes_us,15,6.94,7.2,11.6,4.4,11.6
controls,Avocado-glb,sax-scalar-unique-fallback,samplers_us,15,0.6866666666666666,0.7,1.0,0.4,1.0
controls,Avocado-glb,sax-scalar-unique-fallback,scenes_us,15,3.9933333333333336,4.7,6.2,2.6,6.2
controls,Avocado-glb,sax-scalar-unique-fallback,skins_us,15,0.6266666666666667,0.6,1.0,0.4,1.0
controls,Avocado-glb,sax-scalar-unique-fallback,textures_us,15,30.6,9.9,324.8,5.6,324.8
controls,Avocado-glb,sax-scalar-unique-fallback,typed_other_us,15,7.006666666666667,7.7,11.6,4.7,11.6
controls,Avocado-glb,sax-scalar-unique-fallback,serializer_dom_us,15,0.0,0.0,0.0,0.0,0.0
controls,Avocado-glb,sax-scalar-unique-fallback,serializer_text_us,15,0.0,0.0,0.0,0.0,0.0
controls,Avocado-glb,sax-scalar-unique-fallback,resource_write_us,15,0.0,0.0,0.0,0.0,0.0
controls,SpecularTest-glb,current,total_load_us,15,7930.073333333334,7632.5,12782.7,7231.5,12782.7
controls,SpecularTest-glb,current,file_open_us,15,283.56666666666666,276.9,360.9,235.0,360.9
controls,SpecularTest-glb,current,json_chunk_us,15,50.086666666666666,48.5,77.0,39.4,77.0
controls,SpecularTest-glb,current,strict_parse_us,15,727.8133333333334,694.9,1254.8,640.1,1254.8
controls,SpecularTest-glb,current,validation_dom_us,15,0.10666666666666667,0.1,0.3,0.0,0.3
controls,SpecularTest-glb,current,schema_compile_us,15,4424.886666666666,4138.9,7158.4,4037.0,7158.4
controls,SpecularTest-glb,current,schema_locate_us,15,2093.96,1968.1000000000001,3405.3999999999996,1897.5999999999997,3405.3999999999996
controls,SpecularTest-glb,current,schema_parse_us,15,2038.8733333333332,1914.4,3326.8,1840.1999999999998,3326.8
controls,SpecularTest-glb,current,schema_populate_us,15,4247.6,3973.8,6837.6,3871.2,6837.6
controls,SpecularTest-glb,current,validate_us,15,985.1,925.6,1699.9,901.1,1699.9
controls,SpecularTest-glb,current,typed_us,15,1056.9,985.4,1750.1,912.8,1750.1
controls,SpecularTest-glb,current,buffer_read_us,15,308.29333333333335,287.9,389.0,244.8,389.0
controls,SpecularTest-glb,current,image_read_us,15,77.64,71.1,124.4,62.6,124.4
controls,SpecularTest-glb,current,accessors_us,15,49.12,46.7,77.0,42.6,77.0
