group,variant,case_id,sample,warmup,total_load_us,file_json_us,file_open_us,json_chunk_us,strict_parse_us,validation_dom_us,schema_compile_us,schema_locate_us,schema_parse_us,schema_populate_us,validate_us,typed_us,resources_us,accessors_us,animations_us,buffers_us,buffer_views_us,cameras_us,images_us,materials_us,meshes_us,nodes_us,samplers_us,scenes_us,skins_us,textures_us,typed_other_us,serializer_dom_us,serializer_text_us,resource_write_us,cache_setup_us,input_bytes,json_bytes,resource_bytes,buffer_read_us,image_read_us,buffer_bytes,image_bytes,after_input_ws,after_input_private,after_input_peak,after_parse_ws,after_parse_private,after_parse_peak,after_validation_dom_ws,after_validation_dom_private,after_validation_dom_peak,after_schema_ws,after_schema_private,after_schema_peak,after_validation_ws,after_validation_private,after_validation_peak,after_typed_ws,after_typed_private,after_typed_peak,after_resources_ws,after_resources_private,after_resources_peak,after_serialization_ws,after_serialization_private,after_serialization_peak,schema_locator_calls,schema_documents_parsed,schema_bytes_parsed,parser_parent_scan_loops,parser_parent_scan_elements,schema_adapter_find_calls,schema_adapter_find_scans,schema_adapter_members,schema_adapter_constructions,schema_constraints,schema_traversals,validation_adapter_find_calls,validation_adapter_find_scans,validation_adapter_members,validation_adapter_constructions,validation_string_copies,validation_string_bytes,validation_index_builds,validation_index_members,validation_constraints,validation_traversals,validation_allof,validation_anyof,validation_oneof,validation_properties,validation_required,validation_items,validation_types,validation_unique_items,validation_unique_comparisons,validation_unique_scalar_values,typed_find_calls,typed_find_scans,status
variants,cached-sax-scalar-unique-fallback,NodePerformanceTest-glb,0,false,1938723.1000000001,14873.700000000001,324.19999999999999,14549.5,504034.90000000002,0.29999999999999999,0,0,0,0,782086.5,606227.59999999998,31471.700000000001,160232.79999999999,1.3999999999999999,5.2999999999999998,130793.3,10.6,273.60000000000002,161469.10000000001,81815,47178.300000000003,5,1054.0999999999999,0.69999999999999996,23326.799999999999,24.699999999999999,0,0,0,4426.5,37986536,12368440,26205746,29921,1550.7,25618068,587678,21311488,17272832,260288512,77479936,78540800,260288512,77479936,78540800,260288512,77479936,78540800,260288512,77918208,78864384,260288512,234635264,240951296,260288512,260534272,266846208,260534272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
variants,cached-sax-scalar-unique-fallback,NodePerformanceTest-glb,1,false,1954840.1000000001,15456.799999999999,348.5,15108.299999999999,507573.59999999998,0.29999999999999999,0,0,0,0,804522.40000000002,596784.59999999998,30461.299999999999,165978.39999999999,1.1000000000000001,5,117269,10.800000000000001,326.69999999999999,154086.20000000001,83112,49008.599999999999,4.9000000000000004,1210.8,1.2,25710,24.799999999999997,0,0,0,4426.5,37986536,12368440,26205746,28935.700000000001,1525.5999999999999,25618068,587678,21364736,16465920,260534272,75542528,75034624,260534272,75542528,75034624,260534272,75542528,75034624,260534272,76025856,75513856,260534272,233324544,239833088,260534272,259223552,265777152,260534272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
variants,cached-sax-scalar-unique-fallback,NodePerformanceTest-glb,2,false,1946125.2,15047.5,350.5,14697,515476.90000000002,0.59999999999999998,0,0,0,0,787024.09999999998,597710.90000000002,30839.700000000001,168617.60000000001,1.3999999999999999,5.2999999999999998,117289.89999999999,12,300.60000000000002,158782.10000000001,80145.300000000003,47667.800000000003,4.7000000000000002,964.79999999999995,0.59999999999999998,23858.700000000001,25.600000000000001,0,0,0,4426.5,37986536,12368440,26205746,29353.799999999999,1485.9000000000001,25618068,587678,21671936,17272832,260534272,77594624,74539008,260534272,77594624,74539008,260534272,77594624,74539008,260534272,77946880,74891264,260534272,234266624,241344512,260534272,260083712,267128832,260534272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
variants,cached-sax-scalar-unique-fallback,NodePerformanceTest-glb,3,false,1928104.1000000001,14861.199999999999,371.80000000000001,14489.4,500613.5,0.29999999999999999,0,0,0,0,772283.59999999998,609956.19999999995,30364.400000000001,184215.29999999999,1.3,5.7999999999999998,114611.5,10.5,262.5,156923.39999999999,80718.899999999994,48875.400000000001,4.4000000000000004,1054.8,0.69999999999999996,23207.099999999999,27.200000000000003,0,0,0,4426.5,37986536,12368440,26205746,28800,1564.4000000000001,25618068,587678,21508096,17035264,260534272,77242368,74579968,260534272,77242368,74579968,260534272,77242368,74579968,260534272,77598720,74936320,260534272,233635840,240549888,260534272,259489792,266235904,260534272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
variants,cached-sax-scalar-unique-fallback,NodePerformanceTest-glb,4,false,1924260.1000000001,14793.700000000001,313.5,14480.200000000001,495709.29999999999,0.69999999999999996,0,0,0,0,773264.19999999995,609430.40000000002,31035.699999999997,172449.60000000001,1.2,6.4000000000000004,118829.8,10.6,277.19999999999999,164947.29999999999,79250,49687.699999999997,4.5999999999999996,1087.2,0.90000000000000002,22816,25.699999999999999,0,0,0,4426.5,37986536,12368440,26205746,29518.599999999999,1517.0999999999999,25618068,587678,22315008,19324928,260534272,78036992,75386880,260534272,78036992,75386880,260534272,78036992,75386880,260534272,78528512,75870208,260534272,233881600,240926720,260534272,259735552,266674176,260534272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
variants,cached-sax-scalar-unique-fallback,NodePerformanceTest-glb,5,false,1978306.6000000001,14932.300000000001,324.69999999999999,14607.6,490134.79999999999,0.29999999999999999,0,0,0,0,778058.5,660865.30000000005,34287.800000000003,159904.60000000001,1.3999999999999999,6.7999999999999998,119650.89999999999,10.699999999999999,269.19999999999999,201716.20000000001,97239.5,52197.199999999997,5.2000000000000002,1145.4000000000001,1.3,28643.099999999999,31.799999999999997,0,0,0,4426.5,37986536,12368440,26205746,32221,2066.8000000000002,25618068,587678,21815296,17715200,260534272,76722176,73728000,260534272,76722176,73728000,260534272,76722176,73728000,260534272,77078528,74080256,260534272,233750528,240844800,260534272,259629056,266551296,260534272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
variants,cached-sax-scalar-unique-fallback,NodePerformanceTest-glb,6,false,2011930.7,15451.1,364.5,15086.6,506084.59999999998,0.29999999999999999,0,0,0,0,809070.80000000005,649503,31796.100000000002,160418.29999999999,1.5,6.2999999999999998,120849.3,10.5,325.10000000000002,160150,126269.10000000001,55844.400000000001,4.7999999999999998,1046.2,1,24495.799999999999,28.900000000000002,0,0,0,4426.5,37986536,12368440,26205746,30087.400000000001,1708.7,25618068,587678,21753856,17121280,260534272,77398016,74432512,260534272,77398016,74432512,260534272,77398016,74432512,260534272,77885440,74919936,260534272,233844736,240664576,260534272,259715072,266375168,260534272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
variants,cached-sax-scalar-unique-fallback,NodePerformanceTest-glb,7,false,1929191.3999999999,15066.1,326.5,14739.6,491985.70000000001,0.40000000000000002,0,0,0,0,805598.30000000005,581474.90000000002,35041.099999999999,156506.70000000001,1.2,6.0999999999999996,116095.8,10.800000000000001,269.19999999999999,154139.20000000001,78467.600000000006,46485.800000000003,4.5,1033.4000000000001,1,28373.400000000001,34.600000000000001,0,0,0,4426.5,37986536,12368440,26205746,33538.599999999999,1502.5,25618068,587678,21684224,18317312,260534272,77942784,75100160,260534272,77942784,75100160,260534272,77942784,75100160,260534272,78299136,75468800,260534272,234041344,241127424,260534272,259891200,266829824,260534272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
variants,cached-sax-scalar-unique-fallback,NodePerformanceTest-glb,8,false,1930218.6000000001,14613.4,358.39999999999998,14255,487143.79999999999,0.69999999999999996,0,0,0,0,785253.30000000005,611586.69999999995,31594.900000000001,158630.10000000001,1.3999999999999999,5.5,115864.39999999999,11.800000000000001,322.10000000000002,175962.20000000001,84142.399999999994,50689.099999999999,5.2999999999999998,1052.5999999999999,0.90000000000000002,24836.799999999999,27.100000000000001,0,0,0,4426.5,37986536,12368440,26205746,30055.5,1539.4000000000001,25618068,587678,22503424,18956288,260534272,80113664,81244160,260534272,80113664,81244160,260534272,80113664,81244160,260534272,80564224,81690624,260534272,234295296,241197056,260534272,260108288,266936320,260534272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
variants,cached-sax-scalar-unique-fallback,NodePerformanceTest-glb,9,false,2023465.8,15275.200000000001,332.60000000000002,14942.6,499625.5,0.59999999999999998,0,0,0,0,859173.30000000005,617919.80000000005,31446.400000000001,170223.5,1.2,6.5999999999999996,128884.60000000001,11.5,475.80000000000001,162485.10000000001,81463.199999999997,48131.199999999997,4.7999999999999998,1064.5999999999999,0.69999999999999996,25104.900000000001,25.600000000000001,0,0,0,4426.5,37986536,12368440,26205746,29917.200000000001,1529.2,25618068,587678,21762048,17637376,260534272,76468224,73740288,260534272,76468224,73740288,260534272,76468224,73740288,260534272,76947456,74219520,260534272,234008576,240410624,260534272,259866624,266121216,260534272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
