"sample","relative","bytes","sha256"
"sample-10","ABeautifulGame-draco-glb-roundtrip\ABeautifulGame.glb","12105120","8B03681A5DCD7683CAD269DF6D96F6620C3BAB92777A5F43D23593C5AF70EF7E"
"sample-10","ABeautifulGame-glb-export\ABeautifulGame.glb","42978040","B70C303DB64576FEADBBE5553934D88170838ECABE6FEFDB585A5FBF79FDA617"
"sample-10","ABeautifulGame-glb-roundtrip\ABeautifulGame.glb","42978040","B70C303DB64576FEADBBE5553934D88170838ECABE6FEFDB585A5FBF79FDA617"
"sample-10","Avocado-glb-export\Avocado.glb","8110104","F5A55B5CBE7DF0D8B91D2ED55D75A14D7190850F7BDCF821A68DBFE84FF212BC"
"sample-10","Avocado-glb-roundtrip\Avocado.glb","8110104","F5A55B5CBE7DF0D8B91D2ED55D75A14D7190850F7BDCF821A68DBFE84FF212BC"
"sample-10","NodePerformanceTest-glb-export\NodePerformanceTest.glb","38031532","5B2A4D7B9B08C11931E3B27A3BFABF492CE92DBD8CECCFAD9B737FE29F6D4E92"
"sample-10","NodePerformanceTest-glb-roundtrip\NodePerformanceTest.glb","38031532","5B2A4D7B9B08C11931E3B27A3BFABF492CE92DBD8CECCFAD9B737FE29F6D4E92"
"sample-10","SpecularTest-glb-export\SpecularTest.glb","224024","A4B24ED3FA8805D97A61E97BF73AE57AC3E9D4F879AB05A69EB079946CBBD6CE"
"sample-10","SpecularTest-glb-roundtrip\SpecularTest.glb","224024","A4B24ED3FA8805D97A61E97BF73AE57AC3E9D4F879AB05A69EB079946CBBD6CE"
"sample-2","ABeautifulGame-draco-glb-export\ABeautifulGame.glb","12105120","8B03681A5DCD7683CAD269DF6D96F6620C3BAB92777A5F43D23593C5AF70EF7E"
"sample-2","ABeautifulGame-draco-glb-roundtrip\ABeautifulGame.glb","12105120","8B03681A5DCD7683CAD269DF6D96F6620C3BAB92777A5F43D23593C5AF70EF7E"
"sample-2","ABeautifulGame-glb-export\ABeautifulGame.glb","42978040","B70C303DB64576FEADBBE5553934D88170838ECABE6FEFDB585A5FBF79FDA617"
"sample-2","ABeautifulGame-glb-roundtrip\ABeautifulGame.glb","42978040","B70C303DB64576FEADBBE5553934D88170838ECABE6FEFDB585A5FBF79FDA617"
"sample-2","Avocado-glb-export\Avocado.glb","8110104","F5A55B5CBE7DF0D8B91D2ED55D75A14D7190850F7BDCF821A68DBFE84FF212BC"
"sample-2","Avocado-glb-roundtrip\Avocado.glb","8110104","F5A55B5CBE7DF0D8B91D2ED55D75A14D7190850F7BDCF821A68DBFE84FF212BC"
"sample-2","NodePerformanceTest-glb-export\NodePerformanceTest.glb","38031532","5B2A4D7B9B08C11931E3B27A3BFABF492CE92DBD8CECCFAD9B737FE29F6D4E92"
"sample-2","NodePerformanceTest-glb-roundtrip\NodePerformanceTest.glb","38031532","5B2A4D7B9B08C11931E3B27A3BFABF492CE92DBD8CECCFAD9B737FE29F6D4E92"
"sample-2","SpecularTest-glb-export\SpecularTest.glb","224024","A4B24ED3FA8805D97A61E97BF73AE57AC3E9D4F879AB05A69EB079946CBBD6CE"
"sample-2","SpecularTest-glb-roundtrip\SpecularTest.glb","224024","A4B24ED3FA8805D97A61E97BF73AE57AC3E9D4F879AB05A69EB079946CBBD6CE"
"sample-3","ABeautifulGame-draco-glb-export\ABeautifulGame.glb","12105120","8B03681A5DCD7683CAD269DF6D96F6620C3BAB92777A5F43D23593C5AF70EF7E"
"sample-3","ABeautifulGame-draco-glb-roundtrip\ABeautifulGame.glb","12105120","8B03681A5DCD7683CAD269DF6D96F6620C3BAB92777A5F43D23593C5AF70EF7E"
"sample-3","ABeautifulGame-glb-export\ABeautifulGame.glb","42978040","B70C303DB64576FEADBBE5553934D88170838ECABE6FEFDB585A5FBF79FDA617"
"sample-3","ABeautifulGame-glb-roundtrip\ABeautifulGame.glb","42978040","B70C303DB64576FEADBBE5553934D88170838ECABE6FEFDB585A5FBF79FDA617"
"sample-3","Avocado-glb-export\Avocado.glb","8110104","F5A55B5CBE7DF0D8B91D2ED55D75A14D7190850F7BDCF821A68DBFE84FF212BC"
"sample-3","Avocado-glb-roundtrip\Avocado.glb","8110104","F5A55B5CBE7DF0D8B91D2ED55D75A14D7190850F7BDCF821A68DBFE84FF212BC"
"sample-3","NodePerformanceTest-glb-export\NodePerformanceTest.glb","38031532","5B2A4D7B9B08C11931E3B27A3BFABF492CE92DBD8CECCFAD9B737FE29F6D4E92"
"sample-3","NodePerformanceTest-glb-roundtrip\NodePerformanceTest.glb","38031532","5B2A4D7B9B08C11931E3B27A3BFABF492CE92DBD8CECCFAD9B737FE29F6D4E92"
"sample-3","SpecularTest-glb-export\SpecularTest.glb","224024","A4B24ED3FA8805D97A61E97BF73AE57AC3E9D4F879AB05A69EB079946CBBD6CE"
"sample-3","SpecularTest-glb-roundtrip\SpecularTest.glb","224024","A4B24ED3FA8805D97A61E97BF73AE57AC3E9D4F879AB05A69EB079946CBBD6CE"
"sample-4","ABeautifulGame-draco-glb-export\ABeautifulGame.glb","12105120","8B03681A5DCD7683CAD269DF6D96F6620C3BAB92777A5F43D23593C5AF70EF7E"
"sample-4","ABeautifulGame-draco-glb-roundtrip\ABeautifulGame.glb","12105120","8B03681A5DCD7683CAD269DF6D96F6620C3BAB92777A5F43D23593C5AF70EF7E"
"sample-4","ABeautifulGame-glb-export\ABeautifulGame.glb","42978040","B70C303DB64576FEADBBE5553934D88170838ECABE6FEFDB585A5FBF79FDA617"
"sample-4","ABeautifulGame-glb-roundtrip\ABeautifulGame.glb","42978040","B70C303DB64576FEADBBE5553934D88170838ECABE6FEFDB585A5FBF79FDA617"
"sample-4","Avocado-glb-export\Avocado.glb","8110104","F5A55B5CBE7DF0D8B91D2ED55D75A14D7190850F7BDCF821A68DBFE84FF212BC"
"sample-4","Avocado-glb-roundtrip\Avocado.glb","8110104","F5A55B5CBE7DF0D8B91D2ED55D75A14D7190850F7BDCF821A68DBFE84FF212BC"
"sample-4","NodePerformanceTest-glb-export\NodePerformanceTest.glb","38031532","5B2A4D7B9B08C11931E3B27A3BFABF492CE92DBD8CECCFAD9B737FE29F6D4E92"
"sample-4","NodePerformanceTest-glb-roundtrip\NodePerformanceTest.glb","38031532","5B2A4D7B9B08C11931E3B27A3BFABF492CE92DBD8CECCFAD9B737FE29F6D4E92"
"sample-4","SpecularTest-glb-export\SpecularTest.glb","224024","A4B24ED3FA8805D97A61E97BF73AE57AC3E9D4F879AB05A69EB079946CBBD6CE"
"sample-4","SpecularTest-glb-roundtrip\SpecularTest.glb","224024","A4B24ED3FA8805D97A61E97BF73AE57AC3E9D4F879AB05A69EB079946CBBD6CE"
"sample-5","ABeautifulGame-draco-glb-export\ABeautifulGame.glb","12105120","8B03681A5DCD7683CAD269DF6D96F6620C3BAB92777A5F43D23593C5AF70EF7E"
"sample-5","ABeautifulGame-draco-glb-roundtrip\ABeautifulGame.glb","12105120","8B03681A5DCD7683CAD269DF6D96F6620C3BAB92777A5F43D23593C5AF70EF7E"
"sample-5","ABeautifulGame-glb-export\ABeautifulGame.glb","42978040","B70C303DB64576FEADBBE5553934D88170838ECABE6FEFDB585A5FBF79FDA617"
"sample-5","ABeautifulGame-glb-roundtrip\ABeautifulGame.glb","42978040","B70C303DB64576FEADBBE5553934D88170838ECABE6FEFDB585A5FBF79FDA617"
"sample-5","Avocado-glb-export\Avocado.glb","8110104","F5A55B5CBE7DF0D8B91D2ED55D75A14D7190850F7BDCF821A68DBFE84FF212BC"
"sample-5","Avocado-glb-roundtrip\Avocado.glb","8110104","F5A55B5CBE7DF0D8B91D2ED55D75A14D7190850F7BDCF821A68DBFE84FF212BC"
"sample-5","NodePerformanceTest-glb-export\NodePerformanceTest.glb","38031532","5B2A4D7B9B08C11931E3B27A3BFABF492CE92DBD8CECCFAD9B737FE29F6D4E92"
"sample-5","NodePerformanceTest-glb-roundtrip\NodePerformanceTest.glb","38031532","5B2A4D7B9B08C11931E3B27A3BFABF492CE92DBD8CECCFAD9B737FE29F6D4E92"
"sample-5","SpecularTest-glb-export\SpecularTest.glb","224024","A4B24ED3FA8805D97A61E97BF73AE57AC3E9D4F879AB05A69EB079946CBBD6CE"
"sample-5","SpecularTest-glb-roundtrip\SpecularTest.glb","224024","A4B24ED3FA8805D97A61E97BF73AE57AC3E9D4F879AB05A69EB079946CBBD6CE"
"sample-6","ABeautifulGame-draco-glb-export\ABeautifulGame.glb","12105120","8B03681A5DCD7683CAD269DF6D96F6620C3BAB92777A5F43D23593C5AF70EF7E"
"sample-6","ABeautifulGame-draco-glb-roundtrip\ABeautifulGame.glb","12105120","8B03681A5DCD7683CAD269DF6D96F6620C3BAB92777A5F43D23593C5AF70EF7E"
"sample-6","ABeautifulGame-glb-export\ABeautifulGame.glb","42978040","B70C303DB64576FEADBBE5553934D88170838ECABE6FEFDB585A5FBF79FDA617"
"sample-6","ABeautifulGame-glb-roundtrip\ABeautifulGame.glb","42978040","B70C303DB64576FEADBBE5553934D88170838ECABE6FEFDB585A5FBF79FDA617"
"sample-6","Avocado-glb-export\Avocado.glb","8110104","F5A55B5CBE7DF0D8B91D2ED55D75A14D7190850F7BDCF821A68DBFE84FF212BC"
"sample-6","Avocado-glb-roundtrip\Avocado.glb","8110104","F5A55B5CBE7DF0D8B91D2ED55D75A14D7190850F7BDCF821A68DBFE84FF212BC"
"sample-6","NodePerformanceTest-glb-export\NodePerformanceTest.glb","38031532","5B2A4D7B9B08C11931E3B27A3BFABF492CE92DBD8CECCFAD9B737FE29F6D4E92"
"sample-6","NodePerformanceTest-glb-roundtrip\NodePerformanceTest.glb","38031532","5B2A4D7B9B08C11931E3B27A3BFABF492CE92DBD8CECCFAD9B737FE29F6D4E92"
"sample-6","SpecularTest-glb-export\SpecularTest.glb","224024","A4B24ED3FA8805D97A61E97BF73AE57AC3E9D4F879AB05A69EB079946CBBD6CE"
"sample-6","SpecularTest-glb-roundtrip\SpecularTest.glb","224024","A4B24ED3FA8805D97A61E97BF73AE57AC3E9D4F879AB05A69EB079946CBBD6CE"
"sample-7","ABeautifulGame-draco-glb-export\ABeautifulGame.glb","12105120","8B03681A5DCD7683CAD269DF6D96F6620C3BAB92777A5F43D23593C5AF70EF7E"
"sample-7","ABeautifulGame-draco-glb-roundtrip\ABeautifulGame.glb","12105120","8B03681A5DCD7683CAD269DF6D96F6620C3BAB92777A5F43D23593C5AF70EF7E"
"sample-7","ABeautifulGame-glb-export\ABeautifulGame.glb","42978040","B70C303DB64576FEADBBE5553934D88170838ECABE6FEFDB585A5FBF79FDA617"
"sample-7","ABeautifulGame-glb-roundtrip\ABeautifulGame.glb","42978040","B70C303DB64576FEADBBE5553934D88170838ECABE6FEFDB585A5FBF79FDA617"
"sample-7","Avocado-glb-export\Avocado.glb","8110104","F5A55B5CBE7DF0D8B91D2ED55D75A14D7190850F7BDCF821A68DBFE84FF212BC"
"sample-7","Avocado-glb-roundtrip\Avocado.glb","8110104","F5A55B5CBE7DF0D8B91D2ED55D75A14D7190850F7BDCF821A68DBFE84FF212BC"
"sample-7","NodePerformanceTest-glb-export\NodePerformanceTest.glb","38031532","5B2A4D7B9B08C11931E3B27A3BFABF492CE92DBD8CECCFAD9B737FE29F6D4E92"
"sample-7","NodePerformanceTest-glb-roundtrip\NodePerformanceTest.glb","38031532","5B2A4D7B9B08C11931E3B27A3BFABF492CE92DBD8CECCFAD9B737FE29F6D4E92"
"sample-7","SpecularTest-glb-export\SpecularTest.glb","224024","A4B24ED3FA8805D97A61E97BF73AE57AC3E9D4F879AB05A69EB079946CBBD6CE"
"sample-7","SpecularTest-glb-roundtrip\SpecularTest.glb","224024","A4B24ED3FA8805D97A61E97BF73AE57AC3E9D4F879AB05A69EB079946CBBD6CE"
"sample-8","ABeautifulGame-draco-glb-export\ABeautifulGame.glb","12105120","8B03681A5DCD7683CAD269DF6D96F6620C3BAB92777A5F43D23593C5AF70EF7E"
"sample-8","ABeautifulGame-draco-glb-roundtrip\ABeautifulGame.glb","12105120","8B03681A5DCD7683CAD269DF6D96F6620C3BAB92777A5F43D23593C5AF70EF7E"
"sample-8","ABeautifulGame-glb-export\ABeautifulGame.glb","42978040","B70C303DB64576FEADBBE5553934D88170838ECABE6FEFDB585A5FBF79FDA617"
"sample-8","ABeautifulGame-glb-roundtrip\ABeautifulGame.glb","42978040","B70C303DB64576FEADBBE5553934D88170838ECABE6FEFDB585A5FBF79FDA617"
"sample-8","Avocado-glb-export\Avocado.glb","8110104","F5A55B5CBE7DF0D8B91D2ED55D75A14D7190850F7BDCF821A68DBFE84FF212BC"
"sample-8","Avocado-glb-roundtrip\Avocado.glb","8110104","F5A55B5CBE7DF0D8B91D2ED55D75A14D7190850F7BDCF821A68DBFE84FF212BC"
"sample-8","NodePerformanceTest-glb-export\NodePerformanceTest.glb","38031532","5B2A4D7B9B08C11931E3B27A3BFABF492CE92DBD8CECCFAD9B737FE29F6D4E92"
"sample-8","NodePerformanceTest-glb-roundtrip\NodePerformanceTest.glb","38031532","5B2A4D7B9B08C11931E3B27A3BFABF492CE92DBD8CECCFAD9B737FE29F6D4E92"
"sample-8","SpecularTest-glb-export\SpecularTest.glb","224024","A4B24ED3FA8805D97A61E97BF73AE57AC3E9D4F879AB05A69EB079946CBBD6CE"
"sample-8","SpecularTest-glb-roundtrip\SpecularTest.glb","224024","A4B24ED3FA8805D97A61E97BF73AE57AC3E9D4F879AB05A69EB079946CBBD6CE"
"sample-9","ABeautifulGame-draco-glb-export\ABeautifulGame.glb","12105120","8B03681A5DCD7683CAD269DF6D96F6620C3BAB92777A5F43D23593C5AF70EF7E"
"sample-9","ABeautifulGame-draco-glb-roundtrip\ABeautifulGame.glb","12105120","8B03681A5DCD7683CAD269DF6D96F6620C3BAB92777A5F43D23593C5AF70EF7E"
"sample-9","ABeautifulGame-glb-export\ABeautifulGame.glb","42978040","B70C303DB64576FEADBBE5553934D88170838ECABE6FEFDB585A5FBF79FDA617"
"sample-9","ABeautifulGame-glb-roundtrip\ABeautifulGame.glb","42978040","B70C303DB64576FEADBBE5553934D88170838ECABE6FEFDB585A5FBF79FDA617"
"sample-9","Avocado-glb-export\Avocado.glb","8110104","F5A55B5CBE7DF0D8B91D2ED55D75A14D7190850F7BDCF821A68DBFE84FF212BC"
"sample-9","Avocado-glb-roundtrip\Avocado.glb","8110104","F5A55B5CBE7DF0D8B91D2ED55D75A14D7190850F7BDCF821A68DBFE84FF212BC"
"sample-9","NodePerformanceTest-glb-export\NodePerformanceTest.glb","38031532","5B2A4D7B9B08C11931E3B27A3BFABF492CE92DBD8CECCFAD9B737FE29F6D4E92"
"sample-9","NodePerformanceTest-glb-roundtrip\NodePerformanceTest.glb","38031532","5B2A4D7B9B08C11931E3B27A3BFABF492CE92DBD8CECCFAD9B737FE29F6D4E92"
"sample-9","SpecularTest-glb-export\SpecularTest.glb","224024","A4B24ED3FA8805D97A61E97BF73AE57AC3E9D4F879AB05A69EB079946CBBD6CE"
"sample-9","SpecularTest-glb-roundtrip\SpecularTest.glb","224024","A4B24ED3FA8805D97A61E97BF73AE57AC3E9D4F879AB05A69EB079946CBBD6CE"
