"implementation","source_commit","case_id","asset","format","operation","sample","order_seed","elapsed_us","input_bytes","output_directory","semantic_status"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","export","3","39203","923124.80000000005","37986536","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-3\NodePerformanceTest-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","roundtrip","3","39203","109330.7","12105252","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-3\ABeautifulGame-draco-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","load","3","39203","25036.099999999999","8110040","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","roundtrip","3","39203","2814288.8999999999","37986536","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-3\NodePerformanceTest-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","load","3","39203","1900403","37986536","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","export","4","39204","74453.100000000006","12105252","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-4\ABeautifulGame-draco-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","roundtrip","4","39204","2894795.7000000002","37986536","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-4\NodePerformanceTest-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","load","4","39204","35893.800000000003","12105252","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","load","4","39204","7457.8999999999996","223376","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","export","4","39204","2723","223376","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-4\SpecularTest-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","load","4","39204","80635.199999999997","42977928","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","export","4","39204","859020.69999999995","37986536","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-4\NodePerformanceTest-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","roundtrip","4","39204","10978.5","223376","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-4\SpecularTest-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","roundtrip","4","39204","344524.70000000001","42977928","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-4\ABeautifulGame-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","roundtrip","4","39204","77843.600000000006","8110040","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-4\Avocado-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","export","4","39204","47053","8110040","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-4\Avocado-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","roundtrip","4","39204","106750.39999999999","12105252","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-4\ABeautifulGame-draco-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","export","4","39204","251796.89999999999","42977928","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-4\ABeautifulGame-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","load","4","39204","1914456.8999999999","37986536","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","load","4","39204","24760.099999999999","8110040","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","roundtrip","5","39205","122629.3","12105252","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-5\ABeautifulGame-draco-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","export","5","39205","262145.20000000001","42977928","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-5\ABeautifulGame-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","export","5","39205","46682.199999999997","8110040","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-5\Avocado-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","load","5","39205","2003418.3","37986536","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","load","5","39205","24399","8110040","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","roundtrip","5","39205","344374.5","42977928","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-5\ABeautifulGame-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","export","5","39205","895908.80000000005","37986536","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-5\NodePerformanceTest-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","export","5","39205","2820.0999999999999","223376","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-5\SpecularTest-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","load","5","39205","79824.199999999997","42977928","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","load","5","39205","36532.300000000003","12105252","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","export","5","39205","70178.800000000003","12105252","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-5\ABeautifulGame-draco-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","roundtrip","5","39205","2767525.7999999998","37986536","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-5\NodePerformanceTest-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","load","5","39205","7548.6000000000004","223376","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","roundtrip","5","39205","76999","8110040","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-5\Avocado-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","roundtrip","5","39205","10673.5","223376","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-5\SpecularTest-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","load","6","39206","1963712.8999999999","37986536","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","roundtrip","6","39206","341305.90000000002","42977928","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-6\ABeautifulGame-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","load","6","39206","7354.3000000000002","223376","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","export","6","39206","47341.300000000003","8110040","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-6\Avocado-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","roundtrip","6","39206","2862286.5","37986536","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-6\NodePerformanceTest-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","export","6","39206","249082.10000000001","42977928","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-6\ABeautifulGame-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","roundtrip","6","39206","117233.89999999999","12105252","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-6\ABeautifulGame-draco-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","load","6","39206","87852.100000000006","42977928","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","load","6","39206","33205.099999999999","8110040","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","export","6","39206","869172.40000000002","37986536","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-6\NodePerformanceTest-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","load","6","39206","36265.300000000003","12105252","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","export","6","39206","72397.699999999997","12105252","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-6\ABeautifulGame-draco-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","export","6","39206","3139.8000000000002","223376","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-6\SpecularTest-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","roundtrip","6","39206","10321.299999999999","223376","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-6\SpecularTest-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","roundtrip","6","39206","78287.399999999994","8110040","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-6\Avocado-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","export","7","39207","48040","8110040","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-7\Avocado-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","load","7","39207","23412.5","8110040","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","roundtrip","7","39207","11368.799999999999","223376","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-7\SpecularTest-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","roundtrip","7","39207","334114.40000000002","42977928","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-7\ABeautifulGame-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","export","7","39207","921648.40000000002","37986536","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-7\NodePerformanceTest-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","export","7","39207","82114.699999999997","12105252","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-7\ABeautifulGame-draco-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","roundtrip","7","39207","116090.5","12105252","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-7\ABeautifulGame-draco-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","load","7","39207","83697.699999999997","42977928","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","load","7","39207","36329.599999999999","12105252","","ok"
