"implementation","source_commit","case_id","asset","format","operation","sample","order_seed","elapsed_us","input_bytes","output_directory","semantic_status"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","export","1","39201","265787.5","42977928","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-1\ABeautifulGame-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","export","1","39201","925080.09999999998","37986536","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-1\NodePerformanceTest-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","export","1","39201","47673.400000000001","8110040","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-1\Avocado-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","load","1","39201","80443.399999999994","42977928","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","load","1","39201","1965722.6000000001","37986536","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","load","1","39201","23273.599999999999","8110040","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","load","1","39201","35931","12105252","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","export","1","39201","2811.0999999999999","223376","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-1\SpecularTest-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","roundtrip","1","39201","70330.800000000003","8110040","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-1\Avocado-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","export","1","39201","85699.600000000006","12105252","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-1\ABeautifulGame-draco-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","roundtrip","1","39201","10260.200000000001","223376","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-1\SpecularTest-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","roundtrip","1","39201","2774323","37986536","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-1\NodePerformanceTest-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","roundtrip","1","39201","108755.89999999999","12105252","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-1\ABeautifulGame-draco-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","load","1","39201","7252.3999999999996","223376","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","roundtrip","1","39201","343545.29999999999","42977928","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-1\ABeautifulGame-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","roundtrip","10","39210","107548.2","12105252","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-10\ABeautifulGame-draco-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","roundtrip","10","39210","382045.40000000002","42977928","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-10\ABeautifulGame-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","export","10","39210","71485.5","12105252","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-10\ABeautifulGame-draco-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","export","10","39210","254564.70000000001","42977928","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-10\ABeautifulGame-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","export","10","39210","2837.4000000000001","223376","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-10\SpecularTest-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","roundtrip","10","39210","68242.800000000003","8110040","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-10\Avocado-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","load","10","39210","23594.599999999999","8110040","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","roundtrip","10","39210","2951914.6000000001","37986536","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-10\NodePerformanceTest-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","load","10","39210","7771.8999999999996","223376","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","export","10","39210","908017.19999999995","37986536","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-10\NodePerformanceTest-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","load","10","39210","81278.800000000003","42977928","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","roundtrip","10","39210","10236.6","223376","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-10\SpecularTest-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","load","10","39210","1910195.5","37986536","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","load","10","39210","36564","12105252","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","export","10","39210","46437","8110040","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-10\Avocado-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","load","2","39202","36937.300000000003","12105252","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","export","2","39202","71109","12105252","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-2\ABeautifulGame-draco-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","roundtrip","2","39202","116271.3","12105252","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-2\ABeautifulGame-draco-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","roundtrip","2","39202","10371.799999999999","223376","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-2\SpecularTest-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","roundtrip","2","39202","2917538.3999999999","37986536","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-2\NodePerformanceTest-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","export","2","39202","49424.199999999997","8110040","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-2\Avocado-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","load","2","39202","22893","8110040","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","load","2","39202","7660.1000000000004","223376","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","roundtrip","2","39202","69019.199999999997","8110040","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-2\Avocado-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","export","2","39202","2881.9000000000001","223376","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-2\SpecularTest-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","roundtrip","2","39202","336003.70000000001","42977928","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-2\ABeautifulGame-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","export","2","39202","253447.79999999999","42977928","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-2\ABeautifulGame-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","load","2","39202","1921246.3999999999","37986536","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","load","2","39202","81485.600000000006","42977928","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","NodePerformanceTest-glb","NodePerformanceTest","glb","export","2","39202","868616.69999999995","37986536","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-2\NodePerformanceTest-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","export","3","39203","55282.5","8110040","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-3\Avocado-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","export","3","39203","2761.5","223376","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-3\SpecularTest-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","load","3","39203","84203","42977928","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","Avocado-glb","Avocado","glb","roundtrip","3","39203","77336.300000000003","8110040","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-3\Avocado-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","export","3","39203","73020.399999999994","12105252","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-3\ABeautifulGame-draco-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-draco-glb","ABeautifulGame","glb","load","3","39203","36163.800000000003","12105252","","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","roundtrip","3","39203","370548.59999999998","42977928","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-3\ABeautifulGame-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","ABeautifulGame-glb","ABeautifulGame","glb","export","3","39203","275321","42977928","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-3\ABeautifulGame-glb-export","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","roundtrip","3","39203","10738","223376","E:\Base3D\glTF-SDK-T39-profile\Built\Int\t39-results\final\public-clean-spike\sample-3\SpecularTest-glb-roundtrip","ok"
"clean-strongest-spike","15e30d85b320669527d49071be17847335a2f661","SpecularTest-glb","SpecularTest","glb","load","3","39203","7524.8000000000002","223376","","ok"
