"groupKind","group","operation","caseCount","baselineMedianTotalUs","candidateMedianTotalUs","medianDeltaUs","medianAggregateDeltaPercent","medianWeightedGeometricDeltaPercent","baselineP95TotalUs","candidateP95TotalUs","p95DeltaUs","p95AggregateDeltaPercent","p95WeightedGeometricDeltaPercent"
"overall","all-cases","load","16","2162771.3","2242434.8","79663.5000000014","3.68339916476612","3.45179217227416","2435963.1","2472204.1","36240.9999999995","1.48774831605616","1.08749488044155"
"overall","all-cases","export","16","776111.9","1368943.6","592831.7","76.3848228586626","54.3404600319105","1228261.8","1768341.8","540080","43.9710817351806","25.1064070770033"
"overall","all-cases","roundtrip","16","2915873.3","3650239.9","734366.600000001","25.1851340728694","24.4337438899653","3380691.2","4112959","732267.8","21.6602983437233","20.3693325239355"
"complexity-class","large","load","3","2060660.7","2108706.4","48045.7","2.33156773456202","2.32843762967745","2288104.5","2277672.1","-10432.3999999999","-0.45594071424622","-0.466315457611022"
"complexity-class","large","export","3","641795.3","1231201.6","589406.3","91.8371169125109","68.2083413861426","946243.7","1483038.9","536795.2","56.7290646162294","33.3952961663481"
"complexity-class","large","roundtrip","3","2677343","3378727","701384","26.1970169679417","25.5586003468234","2940248.8","3636889.7","696640.9","23.6932636448997","22.5507848755064"
"complexity-class","medium","load","7","82120.6","99200.1","17079.5","20.7980701553569","20.1171009411347","117872.9","141897","24024.1","20.3813599224249","18.6834322764551"
"complexity-class","medium","export","7","127862","130288.2","2426.20000000001","1.89751450782876","1.70592096173392","272673.7","274901.8","2228.09999999998","0.817130511670167","0.570182004618625"
"complexity-class","medium","roundtrip","7","212015.2","229673.8","17658.6","8.32893113323949","7.82227499176058","402317.7","416034.4","13716.7000000001","3.40941996834841","2.96776825700438"
"complexity-class","small","load","6","19990","34528.3","14538.3","72.727863931966","72.6049556269648","29985.7","52635","22649.3","75.5336710498671","75.4197760564601"
"complexity-class","small","export","6","6454.6","7453.8","999.199999999999","15.4804325597248","15.1001896628791","9344.4","10401.1","1056.7","11.3083772098797","10.3052874015733"
"complexity-class","small","roundtrip","6","26515.1","41839.1","15324","57.7934837130541","57.7212544675583","38124.7","60034.9","21910.2","57.4698292707877","56.5205710693459"
