case_id,operation,tier,complexity_class,samples,retained_rapid_mean_us,retained_rapid_median_us,retained_rapid_p95_us,retained_pre_fix_mean_us,retained_pre_fix_median_us,retained_pre_fix_p95_us,fresh_rapid_mean_us,fresh_rapid_median_us,fresh_rapid_p95_us,post_fix_mean_us,post_fix_median_us,post_fix_p95_us,post_vs_pre_fix_mean_percent,post_vs_fresh_rapid_mean_percent,pre_fix_reduction_mean_percent,retained_regression_gap_recovery_mean_percent
ABeautifulGame-draco-glb,load,large/compressed-material,large,30,33841.05,31697.1,40823.9,38285.05333333334,34936.5,49235.0,34457.74333333333,33025.6,41880.1,39184.693333333336,35775.2,44862.8,2.3498465371516595,13.718106709058054,-2.3498465371516595,-20.243909207988878
ABeautifulGame-draco-glb,export,large/compressed-material,large,30,78941.00666666667,71615.0,129289.3,78842.02333333335,72047.6,133475.0,83466.06333333332,73380.3,146758.0,82703.27333333335,73906.5,145007.3,4.897451684712809,-0.9138923887588554,-4.897451684712809,3900.9092439808887
ABeautifulGame-draco-glb,roundtrip,large/compressed-material,large,30,108044.13333333333,103262.2,113405.2,113482.4,108063.5,131954.8,115020.65999999999,108153.8,166076.2,117325.51333333334,110609.7,134907.4,3.386528072488194,2.0038602919974093,-3.386528072488194,-70.66798244538722
ABeautifulGame-glb,load,large/material-texture,large,30,79087.12666666666,75329.5,92389.4,86174.35666666667,78911.7,124865.5,81620.48333333334,76727.8,95709.7,85022.16666666667,79527.6,99886.4,-1.3370450846030904,4.1676833981012535,1.3370450846030904,16.257268354491114
ABeautifulGame-glb,export,large/material-texture,large,30,269554.20666666667,251953.1,328953.6,261613.76333333334,256985.7,287526.1,282594.86333333334,257942.8,445348.1,276742.07666666666,262623.0,371018.6,5.782690153827148,-2.071087420921397,-5.782690153827148,190.52227562440888
ABeautifulGame-glb,roundtrip,large/material-texture,large,30,339134.43,331814.6,398997.9,352388.01666666666,338085.7,458764.4,352726.11000000004,346042.8,414230.1,351207.58666666667,342765.2,406387.1,-0.334980176444704,-0.4305106115715035,0.334980176444704,8.90649474507021
Avocado-glb,load,medium/texture-heavy,medium,100,23300.63,20266.1,27767.7,24869.409,22646.6,31635.9,25630.557999999997,20907.9,31587.2,25815.443,23417.4,30085.6,3.8040067618816344,0.7213459808405344,-3.8040067618816344,-60.30384139512325
Avocado-glb,export,medium/texture-heavy,medium,100,52754.703,48031.8,103577.8,53191.498,47673.8,96495.5,56168.890999999996,49899.0,113620.3,56649.78,49586.1,115186.3,6.501569104145176,0.8561482903410054,-6.501569104145176,-791.7402900674259
Avocado-glb,roundtrip,medium/texture-heavy,medium,100,81632.43400000001,69397.4,136403.7,79933.15400000001,70386.7,132672.1,84675.799,71427.6,153887.2,85453.334,73025.9,153056.6,6.905995477170827,0.9182493807941552,-6.905995477170827,324.85405583541245
Avocado-gltf,load,medium/texture-heavy,medium,100,19229.941000000003,16273.8,20707.7,20565.688000000002,18493.6,25410.9,19888.06,17291.5,23655.6,23243.985,19743.1,29361.3,13.023133483304806,16.874069165117156,-13.023133483304806,-200.50930303418238
