case_id,operation,tier,complexity_class,samples,retained_rapid_mean_us,retained_rapid_median_us,retained_rapid_p95_us,retained_pre_fix_mean_us,retained_pre_fix_median_us,retained_pre_fix_p95_us,fresh_rapid_mean_us,fresh_rapid_median_us,fresh_rapid_p95_us,post_fix_mean_us,post_fix_median_us,post_fix_p95_us,post_vs_pre_fix_mean_percent,post_vs_fresh_rapid_mean_percent,pre_fix_reduction_mean_percent,retained_regression_gap_recovery_mean_percent
Avocado-gltf,export,medium/texture-heavy,medium,100,5497.965999999999,4788.9,6080.2,5113.561,4904.3,6347.0,5943.816,5079.9,6580.8,5389.45,5157.1,6737.9,5.395242180546984,-9.326769200123287,-5.395242180546984,71.77039840792922
Avocado-gltf,roundtrip,medium/texture-heavy,medium,100,23440.397999999997,21195.9,27920.4,28229.47,23584.1,69193.0,25216.382999999998,23305.8,32035.3,27832.245,25235.4,32185.9,-1.407128791295062,10.373660647524275,1.407128791295062,8.294404427413117
Box-glb,load,small/core,small,100,3471.389,2757.1,4321.0,7082.601,4975.1,8040.1,4055.0429999999997,2847.7,4612.9,5590.003000000001,5090.0,8104.7,-21.074150583945066,37.85311277833554,21.074150583945066,41.332328315258124
Box-glb,export,small/core,small,100,570.1,551.6,705.4,628.489,615.7,748.1,601.116,581.3,758.2,682.8530000000001,662.4,827.1,8.649952505135337,13.597541905389324,-8.649952505135337,-93.10657829385676
Box-glb,roundtrip,small/core,small,100,3452.6459999999997,3248.5,4645.7,6176.578,5601.8,7994.9,3673.96,3435.2,4790.0,7065.919,5674.2,8433.4,14.398603887136199,92.3243312393167,-14.398603887136199,-32.64916304812305
Box-gltf,load,small/core,small,100,4230.584,2973.7,4281.6,6590.9490000000005,5242.0,8443.0,3996.4309999999996,3164.4,4412.1,5893.066,5450.3,8325.8,-10.588505539945775,47.45821959643493,10.588505539945775,29.56674073713178
Box-gltf,export,small/core,small,100,849.335,822.6,1126.1,1470.724,885.1,1175.9,1022.1030000000001,883.6,1207.6,976.692,926.7,1244.1,-33.59107487196782,-4.442898611979424,33.59107487196782,79.50446499696648
Box-gltf,roundtrip,small/core,small,100,5165.317,3779.7,5769.1,7193.355,6151.8,9578.9,4237.107,3961.3,5775.6,6797.616,6373.4,8856.6,-5.501452382094302,60.430595687104436,5.501452382094302,19.513391760903872
EmissiveStrengthTest-glb,load,small/material-grid,small,100,4088.7529999999997,3321.3,4569.7,6774.941999999999,5718.4,9087.9,3878.768,3491.8,5252.2,6349.2919999999995,5872.8,9009.7,-6.2827106121351255,63.69352330430692,6.2827106121351255,15.845869371068073
EmissiveStrengthTest-glb,export,small/material-grid,small,100,736.312,681.6,865.0,926.505,886.9,1159.4,742.0269999999999,721.3,920.5,1004.196,922.4,1408.9,8.385383780983377,35.33146367989307,-8.385383780983377,-40.848506517064266
EmissiveStrengthTest-glb,roundtrip,small/material-grid,small,100,4337.405,4049.4,5960.7,7589.041,6645.2,9184.8,5184.562,4300.2,6289.4,9752.196,6870.4,9354.7,28.503667327663663,88.10067272799516,-28.503667327663663,-66.52512765881542
IridescenceSuzanne-glb,load,medium/material-scene,medium,100,4061.324,3852.3,5329.7,7605.99,6292.8,9756.0,4299.538,4066.4,5773.0,8226.753,6478.1,9178.6,8.161501658561225,91.34039517734234,-8.161501658561225,-17.5125949807401
IridescenceSuzanne-glb,export,medium/material-scene,medium,100,5420.063,3650.6,5721.8,4737.135,3894.6,6212.3,4686.380999999999,3838.2,5546.4,4370.853,4092.8,6159.5,-7.732141895892773,-6.732871271029807,7.732141895892773,-53.6340580559005
IridescenceSuzanne-glb,roundtrip,medium/material-scene,medium,100,9335.879,7575.0,12013.6,13017.681,10110.6,17335.1,9960.025,7836.8,11505.9,12251.613000000001,10448.0,14731.6,-5.884826951897187,23.007853895949072,5.884826951897187,20.806876632692344
MaterialsVariantsShoe-glb,load,medium/material-texture,medium,100,20288.733,19263.5,24462.7,24370.876,21904.0,32808.9,21982.959,20108.3,27408.1,24521.139,22700.4,30772.8,0.6165679067096276,11.546125341906885,-0.6165679067096276,-3.6809832482595297
MaterialsVariantsShoe-glb,export,medium/material-texture,medium,100,53289.342000000004,46405.2,99116.0,52226.167,46888.6,95925.3,56721.100999999995,49158.2,120105.6,57108.75,48770.2,115009.2,9.34892081971093,0.6834299637448944,-9.34892081971093,459.2454675852974
MaterialsVariantsShoe-glb,roundtrip,medium/material-texture,medium,100,76994.837,66905.7,135925.6,78750.274,69403.1,135900.1,82698.933,70021.0,150198.8,81927.86,71388.8,150060.6,4.035015801976759,-0.9323856693531994,-4.035015801976759,-181.01395834769266
MorphStressTest-glb,load,medium/geometry-animation,medium,100,5705.648,4938.5,6604.6,8481.982,7185.5,11777.3,7468.776,5170.3,7765.0,9358.416,7143.8,10402.1,10.332891534077758,25.300531171372654,-10.332891534077758,-31.568031800208452
MorphStressTest-glb,export,medium/geometry-animation,medium,100,5005.721,4196.5,5790.2,4899.8859999999995,4660.4,6164.1,5503.2390000000005,4487.3,7067.6,5359.592,4970.8,7388.1,9.381973376523458,-2.6102264502777515,-9.381973376523458,434.36103368450887
MorphStressTest-glb,roundtrip,medium/geometry-animation,medium,100,9735.315,9115.3,12773.5,13100.864,11822.1,15901.8,11941.883,9698.9,13907.7,12902.48,11917.1,14407.7,-1.514281806146526,8.043932435110944,1.514281806146526,5.8945509335921145
NodePerformanceTest-glb,load,large/scene-structure,large,30,1919167.9966666666,1883577.3,2091949.6,15769761.153333334,15535308.3,16866381.3,1990664.8366666667,1950907.3,2150514.7,2019586.8599999999,1993403.6,2132922.9,-87.19329455682269,1.4528826149238976,87.19329455682269,99.27498510571007
NodePerformanceTest-glb,export,large/scene-structure,large,30,315108.7766666667,303394.0,337618.2,883543.1533333334,877492.1,932843.0,321448.4533333333,310472.2,354137.6,906142.1666666666,894672.1,967013.0,2.5577713151954318,181.89345982854113,-2.5577713151954318,-3.975659154510528
NodePerformanceTest-glb,roundtrip,large/scene-structure,large,30,2198224.4033333333,2150800.1,2404986.0,16600825.093333334,16419030.7,16990397.1,2275916.1333333333,2223146.4,2359942.5,2935946.7866666666,2925352.1,3095595.2,-82.3144526241307,29.000657962147518,82.3144526241307,94.87785297105717
SheenTestGrid-glb,load,medium/material-grid,medium,100,8658.48,7597.5,11105.1,12618.521,10501.7,14372.2,9728.834,8022.3,11589.7,12997.34,10375.6,16737.6,3.002087170120805,33.59607122497926,-3.002087170120805,-9.566037321330748
SheenTestGrid-glb,export,medium/material-grid,medium,100,13065.148000000001,11722.5,14398.3,14565.328000000001,12543.8,19801.9,13596.375,12117.4,15377.5,14571.298,13215.7,18367.8,0.040987748439302876,7.170462715245797,-0.040987748439302876,-0.3979522457304686
SheenTestGrid-glb,roundtrip,medium/material-grid,medium,100,21743.195,19107.4,24922.1,25927.089,23119.7,31052.4,22510.072,20013.7,25786.5,25892.765,23844.0,29365.6,-0.13238663237512135,15.02746415027015,0.13238663237512135,0.8203840728278613
SimpleInstancing-glb,load,small/scene-instancing,small,100,3124.9759999999997,2869.1,4239.4,5553.578,5064.3,8073.5,3223.255,2937.4,4867.7,7652.3009999999995,5301.4,8122.7,37.790465894239695,137.40910973534514,-37.790465894239695,-86.41691804585511
SimpleInstancing-glb,export,small/scene-instancing,small,100,662.7869999999999,637.4,815.3,1844.859,708.5,989.3,712.435,665.2,940.9,772.556,743.6,977.5,-58.12384577899991,8.438804943608904,58.12384577899991,90.71384822582718
SimpleInstancing-glb,roundtrip,small/scene-instancing,small,100,3716.053,3437.6,5291.4,7177.679,5821.0,7810.0,4575.448,3684.5,5981.8,6965.0740000000005,5890.3,7599.7,-2.962029926387061,52.22714803009454,2.962029926387061,6.141766903761399
SpecularTest-glb,load,small/material-grid,small,100,4782.515,4424.6,6678.7,8922.796,7310.5,11833.9,5472.47,4554.3,6361.3,9206.613000000001,7453.7,11229.8,3.18080789922801,68.23505656495149,-3.18080789922801,-6.855017811593004
SpecularTest-glb,export,small/material-grid,small,100,2208.864,2080.2,3065.5,2809.511,2644.2,3841.5,2406.641,2198.1,3425.3,3503.1,2732.1,3952.8,24.687178658492527,45.5597241134012,-24.687178658492527,-115.47364758335594
SpecularTest-glb,roundtrip,small/material-grid,small,100,8226.499,6510.6,10050.8,10413.594000000001,9935.7,12816.7,7251.632,6811.3,9288.1,11629.54,10270.7,14990.2,11.676525894902372,60.371348132392846,-11.676525894902372,-55.59639613276969
TextureTransformMultiTest-glb,load,medium/material-grid,medium,100,7174.326,6202.2,9138.1,12235.78,9344.5,17485.1,8543.43,6553.9,10094.3,11276.577,9341.7,15359.0,-7.839328592047269,31.991214301515893,7.839328592047269,18.951135385207515
TextureTransformMultiTest-glb,export,medium/material-grid,medium,100,4015.013,3174.7,4120.7,5090.977,4274.9,5831.6,3452.054,3282.0,4375.5,4711.254,4495.5,6053.0,-7.458745148524535,36.47683379228714,7.458745148524535,35.291422389596676
TextureTransformMultiTest-glb,roundtrip,medium/material-grid,medium,100,11742.499,9420.7,15381.1,15097.511,13813.1,18878.6,10570.688999999998,9711.4,14996.3,16396.811999999998,13814.6,22226.4,8.606060959319702,55.11583019801264,-8.606060959319702,-38.72716401610478
XmpMetadataRoundedCube-glb,load,small/metadata,small,100,3749.026,2900.0,4364.1,6792.807,5159.5,8213.6,3292.159,2994.4,4479.5,6434.751,5360.1,7842.3,-5.271105155791996,95.45687191900512,5.271105155791996,11.763527008020604
XmpMetadataRoundedCube-glb,export,small/metadata,small,100,1345.1129999999998,1281.3,1798.9,2677.245,1432.5,2225.4,1508.539,1405.1,2091.9,1558.094,1466.6,1990.7,-41.802337851037166,3.284966447668908,41.802337851037166,84.01201982986669
XmpMetadataRoundedCube-glb,roundtrip,small/metadata,small,100,4971.568,4200.0,5774.0,7628.064,6611.2,10170.4,5202.233,4322.6,5999.8,8834.954,6760.1,10800.3,15.821707840941022,69.83003260330707,-15.821707840941022,-45.431651318127315
