"implementation","source_commit","case_id","asset","format","operation","tier","complexity_class","sample_class","configured_samples","extension_coverage","extensions_used","sample","order_seed","branch_order_position","elapsed_us","input_bytes","output_bytes","output_file_count","output_set_sha256","semantic_status","process_peak_working_set_bytes"
"rapidjson-1.9.5","743b7ecd749a53e8d848db56839752a65205e915","Avocado-glb","Avocado","glb","load","medium/texture-heavy","medium","standard","100","core-only","","1","1001","1","24697.6","8110040","0","0","","ok","420831232"
"rapidjson-1.9.5","743b7ecd749a53e8d848db56839752a65205e915","SimpleInstancing-glb","SimpleInstancing","glb","export","small/scene-instancing","small","standard","100","typed-only","EXT_mesh_gpu_instancing","1","1001","1","757.3","7356","7288","1","984EA3F81A9E9B0675E6E5049ABF173A321FE27DE96A63BFC95B0D254CEE89D1","ok","420831232"
"rapidjson-1.9.5","743b7ecd749a53e8d848db56839752a65205e915","ABeautifulGame-draco-glb","ABeautifulGame","glb","load","large/compressed-material","large","large","30","mixed-typed-raw","KHR_draco_mesh_compression;KHR_materials_transmission;KHR_materials_volume;KHR_texture_basisu","1","1001","1","31524.5","12105252","0","0","","ok","420831232"
"rapidjson-1.9.5","743b7ecd749a53e8d848db56839752a65205e915","MorphStressTest-glb","MorphStressTest","glb","load","medium/geometry-animation","medium","standard","100","core-only","","1","1001","1","5020.4","575900","0","0","","ok","420831232"
"rapidjson-1.9.5","743b7ecd749a53e8d848db56839752a65205e915","Avocado-glb","Avocado","glb","export","medium/texture-heavy","medium","standard","100","core-only","","1","1001","1","49273.3","8110040","8110104","1","DC2AB7E28D10AB39C1BB0E8F8408461872DAE99A1241E71DD91CA53901724CA0","ok","420831232"
"rapidjson-1.9.5","743b7ecd749a53e8d848db56839752a65205e915","IridescenceSuzanne-glb","IridescenceSuzanne","glb","export","medium/material-scene","medium","standard","100","mixed-typed-raw","KHR_lights_punctual;KHR_materials_ior;KHR_materials_iridescence;KHR_materials_transmission;KHR_materials_volume","1","1001","1","3804.9","507608","507344","1","C9E0F75BA61F3D8DEFDCED783E5AE753F67AFA01BD8464ED2EE81C710DA9F889","ok","420831232"
"rapidjson-1.9.5","743b7ecd749a53e8d848db56839752a65205e915","SimpleInstancing-glb","SimpleInstancing","glb","roundtrip","small/scene-instancing","small","standard","100","typed-only","EXT_mesh_gpu_instancing","1","1001","1","4050.7","7356","7288","1","984EA3F81A9E9B0675E6E5049ABF173A321FE27DE96A63BFC95B0D254CEE89D1","ok","420831232"
"rapidjson-1.9.5","743b7ecd749a53e8d848db56839752a65205e915","ABeautifulGame-draco-glb","ABeautifulGame","glb","roundtrip","large/compressed-material","large","large","30","mixed-typed-raw","KHR_draco_mesh_compression;KHR_materials_transmission;KHR_materials_volume;KHR_texture_basisu","1","1001","1","118805.5","12105252","12105120","1","0D0A4B9696AF57CC8BC549D12BAD098041B7A876BEF57E889250FC060FB04A83","ok","420831232"
"rapidjson-1.9.5","743b7ecd749a53e8d848db56839752a65205e915","MaterialsVariantsShoe-glb","MaterialsVariantsShoe","glb","export","medium/material-texture","medium","standard","100","raw-only","KHR_materials_variants","1","1001","1","45439.1","7833592","7832868","1","980911BAC4FE6B9B1DB899713A70DD54C56C4617D29BA388E30317A7713F5D5F","ok","420831232"
"rapidjson-1.9.5","743b7ecd749a53e8d848db56839752a65205e915","NodePerformanceTest-glb","NodePerformanceTest","glb","load","large/scene-structure","large","large","30","raw-only","KHR_lights_punctual","1","1001","1","1883671.7","37986536","0","0","","ok","420831232"
