"phase","cycle","order_seed","first","second","active_case_count","active_cases"
"measured","62","1062","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","63","1063","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","64","1064","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","65","1065","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","66","1066","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","67","1067","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","68","1068","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","69","1069","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","70","1070","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","71","1071","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","72","1072","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","73","1073","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","74","1074","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","75","1075","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","76","1076","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","77","1077","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","78","1078","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","79","1079","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","80","1080","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","81","1081","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","82","1082","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","83","1083","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","84","1084","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","85","1085","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","86","1086","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","87","1087","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","88","1088","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","89","1089","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","90","1090","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","91","1091","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","92","1092","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","93","1093","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","94","1094","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","95","1095","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","96","1096","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","97","1097","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","98","1098","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","99","1099","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","100","1100","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
