"phase","cycle","order_seed","first","second","active_case_count","active_cases"
"measured","6","1006","nlohmann-2.0.0","rapidjson-1.9.5","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","7","1007","rapidjson-1.9.5","nlohmann-2.0.0","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","8","1008","nlohmann-2.0.0","rapidjson-1.9.5","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","9","1009","rapidjson-1.9.5","nlohmann-2.0.0","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","10","1010","nlohmann-2.0.0","rapidjson-1.9.5","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","11","1011","rapidjson-1.9.5","nlohmann-2.0.0","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","12","1012","nlohmann-2.0.0","rapidjson-1.9.5","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","13","1013","rapidjson-1.9.5","nlohmann-2.0.0","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","14","1014","nlohmann-2.0.0","rapidjson-1.9.5","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","15","1015","rapidjson-1.9.5","nlohmann-2.0.0","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
