"implementation","source_commit","case_id","asset","format","operation","sample","order_seed","branch_order_position","elapsed_us","input_bytes","output_bytes","output_file_count","output_set_sha256","semantic_status","process_peak_working_set_bytes"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Avocado-glb","Avocado","glb","load","1","1001","1","20412.1","8110040","0","0","","ok","42070016"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Box-glb","Box","glb","load","1","1001","1","2888","1664","0","0","","ok","42070016"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Box-gltf","Box","gltf","load","1","1001","1","3171.6","3546","0","0","","ok","42070016"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Box-gltf","Box","gltf","export","1","1001","1","770.3","3546","1618","2","9BA5254B1E66D656D6CD07CC10D829597E5151E98F7DBCAA59A6C5807532388D","ok","42070016"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Avocado-glb","Avocado","glb","export","1","1001","1","46174.5","8110040","8110104","1","DC2AB7E28D10AB39C1BB0E8F8408461872DAE99A1241E71DD91CA53901724CA0","ok","42070016"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Avocado-gltf","Avocado","gltf","roundtrip","1","1001","1","19875.2","8110895","8109906","5","C72227178574600C360CE50E5B5965D8A785D0BC17589F19D16D2E1502BC4836","ok","42070016"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Box-glb","Box","glb","export","1","1001","1","678.3","1664","1632","1","80503A0DF23E35679EEF3E3ED6E527B6EEA00D8265BC7D2AAF4CEC4A36CF8D1B","ok","42070016"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Box-gltf","Box","gltf","roundtrip","1","1001","1","4629.1","3546","1618","2","9BA5254B1E66D656D6CD07CC10D829597E5151E98F7DBCAA59A6C5807532388D","ok","42070016"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Avocado-gltf","Avocado","gltf","load","1","1001","1","19281.1","8110895","0","0","","ok","42070016"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Box-glb","Box","glb","roundtrip","1","1001","1","3688.3","1664","1632","1","80503A0DF23E35679EEF3E3ED6E527B6EEA00D8265BC7D2AAF4CEC4A36CF8D1B","ok","42070016"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Avocado-gltf","Avocado","gltf","export","1","1001","1","5582.1","8110895","8109906","5","C72227178574600C360CE50E5B5965D8A785D0BC17589F19D16D2E1502BC4836","ok","42070016"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Avocado-glb","Avocado","glb","roundtrip","1","1001","1","116753.7","8110040","8110104","1","DC2AB7E28D10AB39C1BB0E8F8408461872DAE99A1241E71DD91CA53901724CA0","ok","42070016"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Avocado-glb","Avocado","glb","load","2","1002","2","23020.8","8110040","0","0","","ok","38113280"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Avocado-glb","Avocado","glb","roundtrip","2","1002","2","79114.7","8110040","8110104","1","DC2AB7E28D10AB39C1BB0E8F8408461872DAE99A1241E71DD91CA53901724CA0","ok","38113280"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Box-gltf","Box","gltf","export","2","1002","2","1033","3546","1618","2","9BA5254B1E66D656D6CD07CC10D829597E5151E98F7DBCAA59A6C5807532388D","ok","38113280"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Box-glb","Box","glb","load","2","1002","2","2844.4","1664","0","0","","ok","38113280"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Avocado-glb","Avocado","glb","export","2","1002","2","46768.8","8110040","8110104","1","DC2AB7E28D10AB39C1BB0E8F8408461872DAE99A1241E71DD91CA53901724CA0","ok","38113280"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Box-gltf","Box","gltf","roundtrip","2","1002","2","4082.6","3546","1618","2","9BA5254B1E66D656D6CD07CC10D829597E5151E98F7DBCAA59A6C5807532388D","ok","38113280"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Avocado-gltf","Avocado","gltf","roundtrip","2","1002","2","20795.8","8110895","8109906","5","C72227178574600C360CE50E5B5965D8A785D0BC17589F19D16D2E1502BC4836","ok","38113280"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Box-glb","Box","glb","roundtrip","2","1002","2","4037.9","1664","1632","1","80503A0DF23E35679EEF3E3ED6E527B6EEA00D8265BC7D2AAF4CEC4A36CF8D1B","ok","38113280"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Box-gltf","Box","gltf","load","2","1002","2","3774","3546","0","0","","ok","38113280"
"rapidjson-1.9.5","2b410117c0e9e67da52afea5845610d05ad3f825","Avocado-gltf","Avocado","gltf","load","2","1002","2","17529.2","8110895","0","0","","ok","38113280"
