"implementation","case_id","asset","format","output_bytes","output_file_count","output_set_sha256"
"nlohmann-2.0.0","Avocado-glb","Avocado","glb","8110104","1","C813BA5B22D1EAAA78AECE97500EB82FD483EF1AFC4C3B5494F0C45F40C6B307"
"nlohmann-2.0.0","Avocado-gltf","Avocado","gltf","8109904","5","577BE81BE38882B7629C0391DDA4BFB51ACEB236413AB39AE26F9467ED82C14A"
"nlohmann-2.0.0","Box-glb","Box","glb","1632","1","92E24B450EDF96029BFD157879B2E8D534DF9399E42C1E65980324EF585CF4C1"
"nlohmann-2.0.0","Box-gltf","Box","gltf","1618","2","3C980C11AF22743E70D6A34755F3856A488C494AF170A9B64090B03052649936"
"rapidjson-1.9.5","Avocado-glb","Avocado","glb","8110104","1","DC2AB7E28D10AB39C1BB0E8F8408461872DAE99A1241E71DD91CA53901724CA0"
"rapidjson-1.9.5","Avocado-gltf","Avocado","gltf","8109906","5","C72227178574600C360CE50E5B5965D8A785D0BC17589F19D16D2E1502BC4836"
"rapidjson-1.9.5","Box-glb","Box","glb","1632","1","80503A0DF23E35679EEF3E3ED6E527B6EEA00D8265BC7D2AAF4CEC4A36CF8D1B"
"rapidjson-1.9.5","Box-gltf","Box","gltf","1618","2","9BA5254B1E66D656D6CD07CC10D829597E5151E98F7DBCAA59A6C5807532388D"
