"phase","cycle","order_seed","order_position","implementation","started_utc","completed_utc","duration_ms","peak_working_set_bytes","exit_code"
"warmup","1","101","1","rapidjson-1.9.5","2026-09-02T13:24:24.9033807Z","2026-09-02T13:24:25.4862078Z","582.827","38146048","0"
"warmup","1","101","2","nlohmann-2.0.0","2026-09-02T13:24:25.5361174Z","2026-09-02T13:24:26.1783691Z","642.252","38494208","0"
"warmup","2","102","1","nlohmann-2.0.0","2026-09-02T13:24:26.6606037Z","2026-09-02T13:24:27.2477653Z","587.162","42385408","0"
"warmup","2","102","2","rapidjson-1.9.5","2026-09-02T13:24:27.3059709Z","2026-09-02T13:24:27.8571206Z","551.15","42098688","0"
"warmup","3","103","1","rapidjson-1.9.5","2026-09-02T13:24:28.3958598Z","2026-09-02T13:24:28.9526796Z","556.82","42151936","0"
"warmup","3","103","2","nlohmann-2.0.0","2026-09-02T13:24:28.9767231Z","2026-09-02T13:24:29.5546458Z","577.923","42467328","0"
"warmup","4","104","1","nlohmann-2.0.0","2026-09-02T13:24:29.6017463Z","2026-09-02T13:24:30.1716856Z","569.939","38449152","0"
"warmup","4","104","2","rapidjson-1.9.5","2026-09-02T13:24:30.2337968Z","2026-09-02T13:24:30.8070836Z","573.287","38084608","0"
"warmup","5","105","1","rapidjson-1.9.5","2026-09-02T13:24:30.8465937Z","2026-09-02T13:24:31.3767268Z","530.133","42115072","0"
"warmup","5","105","2","nlohmann-2.0.0","2026-09-02T13:24:31.4359889Z","2026-09-02T13:24:32.0570537Z","621.065","42328064","0"
"measured","1","1001","1","rapidjson-1.9.5","2026-09-02T13:24:32.5860251Z","2026-09-02T13:24:33.1175803Z","531.555","42070016","0"
"measured","1","1001","2","nlohmann-2.0.0","2026-09-02T13:24:33.3941433Z","2026-09-02T13:24:33.9721134Z","577.97","42459136","0"
"measured","2","1002","1","nlohmann-2.0.0","2026-09-02T13:24:34.3911983Z","2026-09-02T13:24:34.9687572Z","577.559","38498304","0"
"measured","2","1002","2","rapidjson-1.9.5","2026-09-02T13:24:35.5616613Z","2026-09-02T13:24:36.1163824Z","554.721","38113280","0"
"measured","3","1003","1","rapidjson-1.9.5","2026-09-02T13:24:36.7419627Z","2026-09-02T13:24:37.2719123Z","529.95","42053632","0"
"measured","3","1003","2","nlohmann-2.0.0","2026-09-02T13:24:37.9151511Z","2026-09-02T13:24:38.4859894Z","570.838","42426368","0"
"measured","4","1004","1","nlohmann-2.0.0","2026-09-02T13:24:39.1081853Z","2026-09-02T13:24:39.6986727Z","590.487","42467328","0"
"measured","4","1004","2","rapidjson-1.9.5","2026-09-02T13:24:40.2808104Z","2026-09-02T13:24:40.8437727Z","562.962","42110976","0"
"measured","5","1005","1","rapidjson-1.9.5","2026-09-02T13:24:41.4939741Z","2026-09-02T13:24:42.0670316Z","573.058","42090496","0"
"measured","5","1005","2","nlohmann-2.0.0","2026-09-02T13:24:42.6799672Z","2026-09-02T13:24:43.2549872Z","575.02","42426368","0"
"measured","6","1006","1","nlohmann-2.0.0","2026-09-02T13:24:43.8607285Z","2026-09-02T13:24:44.4473030Z","586.574","42405888","0"
"measured","6","1006","2","rapidjson-1.9.5","2026-09-02T13:24:45.0240539Z","2026-09-02T13:24:45.5620828Z","538.029","42131456","0"
"measured","7","1007","1","rapidjson-1.9.5","2026-09-02T13:24:46.2285646Z","2026-09-02T13:24:46.7861328Z","557.568","42110976","0"
"measured","7","1007","2","nlohmann-2.0.0","2026-09-02T13:24:47.4149020Z","2026-09-02T13:24:47.9933810Z","578.479","42438656","0"
"measured","8","1008","1","nlohmann-2.0.0","2026-09-02T13:24:48.6056767Z","2026-09-02T13:24:49.1766490Z","570.972","42442752","0"
