"groupKind","group","operation","caseCount","baselineMedianTotalUs","candidateMedianTotalUs","medianDeltaUs","medianAggregateDeltaPercent","medianWeightedGeometricDeltaPercent","baselineP95TotalUs","candidateP95TotalUs","p95DeltaUs","p95AggregateDeltaPercent","p95WeightedGeometricDeltaPercent"
"overall","all-cases","load","16","2088243.6","15778995","13690751.4","655.6108396549139","581.3081441241851","2358733.0000000005","17237420.1","14878687.100000001","630.7914927208801","559.9092828400707"
"overall","all-cases","export","16","754986.9999999999","1338538.7","583551.7000000001","77.29294676597083","55.084751999656255","1043042.2999999999","1600761.4000000001","557719.1000000002","53.47042013540585","33.463144090112706"
"overall","all-cases","roundtrip","16","2813820.1","17128186","14314365.9","508.7164563221366","379.72855746445464","3320220.8","18059605.099999998","14739384.299999997","443.9278345584727","328.07577526838776"
"complexity-class","large","load","3","1990603.9000000001","15649156.5","13658552.6","686.1512026576457","638.7631463197908","2225162.9","17040481.8","14815318.9","665.8082830699722","622.9821697804185"
"complexity-class","large","export","3","626962.1","1206525.4","579563.2999999999","92.43992579455758","68.63505320384972","795861.1","1353844.1","557983.0000000001","70.11060095788073","46.32817685486621"
"complexity-class","large","roundtrip","3","2585876.9","16865179.9","14279302.999999998","552.203509764908","444.57256454347703","2917389.1","17581116.3","14663727.200000001","502.6318635385318","413.8150151205937"
"complexity-class","medium","load","7","78393.9","96368.7","17974.800000000003","22.928824819278034","21.940168002427107","105115.60000000002","143246.30000000002","38130.7","36.27501531647062","34.14366848087056"
"complexity-class","medium","export","7","121970.2","124840.4","2870.199999999997","2.3531977483024518","2.196618029959807","238805","236777.7","-2027.2999999999884","-0.8489353237997481","-1.440891231233754"
"complexity-class","medium","roundtrip","7","202717.4","222239.40000000002","19522.00000000003","9.630155082888804","9.017307450679123","365340","420933.10000000003","55593.100000000035","15.21681173701211","10.768952986028001"
"complexity-class","small","load","6","19245.8","33469.8","14224.000000000004","73.90703426202082","73.82460229525924","28454.5","53692","25237.5","88.69423114094431","88.5338459908247"
